ms,degC
2021,28.00
4043,28.00
6066,28.00
8089,28.00
10114,28.00
12137,28.00
14160,28.00
16183,28.00
18205,28.00
20228,28.00
22250,28.50
24274,28.50
26297,28.50
28319,28.50
30342,28.90
32366,28.90
34388,28.90
36411,29.00
38433,29.30
40457,29.30
42479,29.30
44502,29.80
46526,29.80
48548,29.80
50571,29.80
52595,29.80
54618,30.20
56642,30.20
58664,30.20
60687,30.20
62709,30.20
64732,30.20
66756,30.80
68779,30.80
70801,30.80
72823,30.80
74846,30.80
76870,30.80
78893,30.80
80915,30.80
82938,31.30
84961,31.30
86983,31.30
89008,31.30
91030,31.30
93052,31.30
95077,31.30
97099,31.30
99122,31.30
101146,31.30
103169,31.80
105191,31.80
107215,31.80
109238,31.80
111260,31.80
113285,31.80
115307,31.80
117329,31.80
119353,31.80
121375,31.80
123400,31.80
125422,31.80
