ms,degC
2021,28.50
4044,28.90
6067,28.90
8089,28.90
10114,29.00
12136,29.30
14158,29.30
16182,29.30
18204,29.80
20229,29.80
22251,29.80
24273,29.80
26298,30.20
28320,30.20
30343,30.20
32367,30.20
34390,30.20
36412,30.80
38435,30.80
40458,30.80
42480,30.80
44503,30.80
46526,31.30
48548,31.30
50572,31.30
52594,31.30
54617,31.30
56641,31.30
58663,31.40
60686,31.80
62710,31.80
64733,31.80
66756,31.80
68779,31.80
70801,31.80
72825,31.80
74848,32.30
76870,32.30
78893,32.30
80917,32.30
82939,32.30
84962,32.30
86984,32.30
89009,32.30
91032,32.80
93054,32.80
95077,32.80
97099,32.80
99124,32.80
101146,32.80
103169,32.80
105191,32.80
107215,32.80
109238,32.80
111260,32.80
113283,33.30
115307,33.30
117329,33.30
119352,33.30
121376,33.30
123399,33.30
125421,33.30
