ms,degC
2021,24.10
4044,24.10
6068,24.10
8092,24.10
10116,24.10
12139,24.10
14161,24.10
16184,24.10
18206,24.10
20229,24.10
22253,24.50
24275,24.50
26298,24.50
28320,24.50
30344,24.50
32368,24.80
34392,24.80
36414,24.80
38436,24.80
40459,25.30
42481,25.30
44506,25.30
46528,25.30
48550,25.50
50575,25.80
52597,25.80
54620,25.80
56643,25.80
58665,26.20
60688,26.20
62711,26.20
64736,26.20
66759,26.70
68782,26.70
70804,26.70
72826,26.70
74851,26.70
76873,27.10
78896,27.10
80918,27.10
82942,27.10
84966,27.10
86988,27.60
89011,27.60
91035,27.60
93058,27.60
95080,27.60
97102,27.60
99127,27.60
101149,28.00
103172,28.00
105194,28.00
107217,28.00
109242,28.00
111264,28.00
113287,28.00
115309,28.00
117334,28.40
119356,28.50
121379,28.50
123402,28.50
125424,28.50
127448,28.50
129470,28.50
131494,28.50
