ms,degC
2021,25.30
4043,25.80
6067,25.80
8090,25.80
10115,26.20
12138,26.20
14160,26.20
16183,26.20
18205,26.20
20228,26.20
22250,26.70
24274,26.70
26297,26.70
28319,26.70
30342,26.70
32366,26.70
34388,27.10
36411,27.10
38433,27.10
40458,27.10
42480,27.10
44503,27.10
46525,27.10
48547,27.10
50570,27.60
52594,27.60
54617,27.60
56639,27.60
58661,27.60
60686,27.60
62708,27.60
64731,27.60
66755,27.60
68777,27.60
70800,28.00
72822,28.00
74845,28.00
76867,28.00
78889,28.00
80912,28.00
82934,28.00
84957,28.00
86980,28.00
89004,28.00
91027,28.00
93050,28.00
95075,28.00
97098,28.00
99122,28.00
101144,28.50
103166,28.50
105189,28.50
107212,28.50
109237,28.50
111259,28.50
