ms,degC
2021,29.30
4045,29.80
6068,29.80
8090,29.80
10113,30.00
12137,30.20
14159,30.20
16182,30.20
18206,30.20
20229,30.20
22251,30.80
24273,30.80
26298,30.80
28320,30.80
30343,30.80
32367,30.80
34391,30.80
36413,30.80
38435,30.80
40460,30.80
42482,30.80
44505,30.80
46528,31.30
48550,31.30
50574,31.30
52596,31.30
54619,31.30
56642,31.30
58664,31.30
60689,31.30
62711,31.30
64735,31.30
66757,31.30
68780,31.30
70804,31.30
72826,31.30
74850,31.30
76872,31.30
78896,31.30
80918,31.30
82941,31.30
84964,31.30
86987,31.30
89010,31.30
91033,31.60
93056,31.80
95078,31.80
97102,31.80
99125,31.80
101147,31.80
103171,31.80
105193,31.80
107216,31.80
109239,31.80
111263,31.80
113286,31.80
115309,31.80
117331,31.80
119355,31.80
121377,31.80
123400,31.80
125423,31.80
127446,31.80
129469,31.80
131491,31.80
