ms,degC
2021,28.00
4044,28.50
6069,28.50
8091,28.50
10114,28.90
12136,28.90
14160,28.90
16183,28.90
18205,29.30
20230,29.30
22253,29.30
24275,29.30
26298,29.80
28320,29.80
30345,29.80
32367,29.80
34390,30.20
36412,30.20
38436,30.20
40460,30.20
42482,30.20
44505,30.20
46527,30.80
48551,30.80
50574,30.80
52596,30.80
54620,30.80
56644,30.80
58668,30.80
60690,30.90
62712,31.30
64737,31.30
66759,31.30
68782,31.30
70804,31.30
72828,31.30
74851,31.30
76873,31.30
78898,31.30
80920,31.30
82942,31.80
84967,31.80
86990,31.80
89013,31.80
91035,31.80
93058,31.80
95082,31.80
97104,31.80
99127,31.80
101149,31.80
103174,31.80
105197,31.80
107219,31.80
109242,31.80
111265,31.80
113290,31.80
115313,32.20
117336,32.30
119358,32.30
121380,32.30
