ms,degC
2021,32.80
4043,32.30
6067,32.30
8091,31.80
10114,31.80
12136,31.30
14158,31.30
16182,31.30
18204,30.80
20227,30.80
22251,30.20
24273,30.20
26296,30.20
28320,30.20
30343,29.80
32365,29.80
34387,29.80
36412,29.80
38434,29.30
40457,29.30
42481,29.30
44504,29.30
46526,29.30
48550,29.30
50573,29.30
52595,29.00
54619,28.90
56641,28.90
58663,28.90
60686,28.90
62710,28.90
64733,28.90
66755,28.90
68780,28.90
70802,28.90
72824,28.90
74849,28.90
76871,28.90
78894,28.90
80917,28.90
82939,28.90
84963,28.90
86985,28.90
89008,28.90
91031,28.90
93054,28.90
95077,28.90
97099,28.90
99122,28.90
101146,28.90
103169,28.90
105191,28.90
107214,29.00
109239,29.30
111261,29.30
113284,29.30
115307,29.30
117329,29.30
