ms,degC
2022,25.30
4044,26.70
6067,26.70
8089,27.10
10113,27.40
12137,27.60
14159,27.90
16182,28.00
18204,28.00
20227,28.00
22250,28.00
24274,28.10
26297,28.50
28319,28.50
30344,28.50
32366,28.50
34388,28.90
36411,28.90
38435,28.90
40458,28.90
42480,28.90
44504,28.90
46526,28.90
48548,28.90
50571,29.00
52595,29.30
54618,29.30
56640,29.30
58662,29.30
60687,29.30
62710,29.30
64733,29.30
66756,29.30
68779,29.30
70801,29.30
72825,29.30
74848,29.30
76870,29.70
78894,29.80
80918,29.80
82940,29.80
84963,29.80
86985,29.80
89010,29.80
91033,29.80
93056,29.80
95078,29.80
97100,29.80
99125,29.80
101147,29.80
103170,29.80
105192,29.80
107215,30.20
109238,29.80
111262,29.80
113285,29.80
115307,29.80
117331,29.80
119354,29.80
