X	Y
1976.000	956.000
1977.399	953.147
1979.036	950.272
1980.900	947.376
1982.977	944.462
1985.254	941.531
1987.720	938.587
1990.362	935.632
1993.166	932.668
1996.121	929.697
1999.214	926.722
2002.431	923.745
2005.761	920.768
2009.192	917.794
2012.709	914.825
2016.301	911.864
2019.955	908.913
2023.659	905.973
2027.400	903.048
2031.164	900.141
2034.941	897.252
2038.716	894.384
2042.478	891.541
2046.214	888.724
2049.910	885.935
2053.556	883.177
2057.137	880.452
2060.642	877.763
2064.057	875.112
2067.371	872.501
2070.572	869.932
2073.662	867.405
2076.651	864.916
2079.545	862.465
2082.354	860.048
2085.084	857.664
2087.746	855.310
2090.345	852.984
2092.892	850.684
2095.394	848.408
2097.858	846.153
2100.294	843.918
2102.709	841.700
2105.112	839.496
2107.510	837.306
2109.912	835.126
2112.326	832.955
2114.761	830.789
2117.224	828.628
2119.723	826.469
2122.267	824.309
2124.863	822.146
2127.521	819.979
2130.247	817.805
2133.050	815.622
2135.928	813.430
2138.882	811.229
2141.911	809.019
2145.015	806.799
2148.194	804.570
2151.447	802.332
2154.773	800.085
2158.173	797.828
2161.646	795.561
2165.191	793.285
2168.809	790.999
2172.498	788.703
2176.259	786.397
2180.091	784.082
2183.993	781.756
2187.965	779.421
2192.008	777.075
2196.120	774.719
2200.300	772.353
2204.550	769.977
2208.867	767.590
2213.253	765.193
2217.706	762.785
2222.226	760.367
2226.812	757.938
2231.465	755.499
2236.184	753.048
2240.968	750.587
2245.818	748.115
2250.732	745.632
2255.710	743.138
2260.750	740.633
2265.850	738.119
2271.009	735.595
2276.224	733.062
2281.493	730.521
2286.816	727.973
2292.188	725.417
2297.610	722.854
2303.078	720.285
2308.592	717.711
2314.148	715.131
2319.745	712.546
2325.382	709.958
2331.055	707.366
2336.764	704.771
2342.507	702.173
2348.281	699.573
2354.084	696.972
2359.916	694.370
2365.772	691.768
2371.653	689.165
2377.556	686.564
2383.479	683.963
2389.419	681.364
2395.376	678.768
2401.347	676.174
2407.330	673.583
2413.324	670.996
2419.326	668.414
2425.335	665.836
2431.349	663.264
2437.365	660.698
2443.382	658.138
2449.398	655.585
2455.411	653.040
2461.419	650.502
2467.420	647.974
2473.413	645.454
2479.394	642.944
2485.363	640.444
2491.318	637.954
2497.256	635.476
2503.177	633.010
2509.079	630.555
2514.964	628.112
2520.831	625.681
2526.681	623.263
2532.513	620.857
2538.329	618.464
2544.127	616.084
2549.908	613.716
2555.672	611.362
2561.419	609.021
2567.149	606.693
2572.864	604.379
2578.561	602.079
2584.242	599.793
2589.907	597.521
2595.555	595.263
2601.188	593.020
2606.805	590.792
2612.406	588.578
2617.991	586.379
2623.560	584.195
2629.114	582.027
2634.653	579.874
2640.176	577.737
2645.684	575.615
2651.177	573.510
2656.656	571.420
2662.119	569.347
2667.568	567.291
2673.002	565.251
2678.421	563.227
2683.826	561.221
2689.217	559.232
2694.594	557.260
2699.957	555.306
2705.305	553.370
2710.640	551.451
2715.961	549.550
2721.268	547.667
2726.562	545.803
2731.843	543.956
2737.111	542.128
2742.367	540.318
2747.612	538.524
2752.847	536.748
2758.072	534.988
2763.287	533.243
2768.495	531.514
2773.694	529.800
2778.887	528.101
2784.074	526.416
2789.256	524.745
2794.432	523.087
2799.605	521.443
2804.774	519.811
2809.941	518.191
2815.106	516.582
2820.270	514.985
2825.433	513.399
2830.597	511.824
2835.762	510.258
2840.928	508.703
2846.097	507.156
2851.269	505.618
2856.445	504.089
2861.626	502.568
2866.812	501.054
2872.004	499.548
2877.203	498.048
2882.409	496.554
2887.624	495.067
2892.847	493.585
2898.080	492.108
2903.323	490.635
2908.578	489.167
2913.844	487.703
2919.123	486.242
2924.415	484.784
2929.719	483.330
2935.036	481.880
2940.363	480.435
2945.700	478.996
2951.047	477.564
2956.401	476.139
2961.764	474.722
2967.133	473.314
2972.508	471.915
2977.888	470.527
2983.271	469.150
2988.659	467.784
2994.048	466.431
2999.439	465.092
3004.831	463.767
3010.222	462.456
3015.613	461.161
3021.001	459.883
3026.387	458.622
3031.770	457.378
3037.147	456.153
3042.520	454.948
