X	Y
1972.000	1084.000
1974.432	1082.756
1977.158	1081.812
1980.172	1081.158
1983.465	1080.784
1987.029	1080.681
1990.858	1080.838
1994.943	1081.247
1999.276	1081.896
2003.849	1082.778
2008.656	1083.881
2013.688	1085.197
2018.937	1086.714
2024.396	1088.425
2030.057	1090.318
2035.913	1092.385
2041.955	1094.615
2048.175	1096.999
2054.567	1099.527
2061.122	1102.189
2067.833	1104.976
2074.691	1107.878
2081.689	1110.884
2088.820	1113.986
2096.076	1117.174
2103.448	1120.437
2110.929	1123.767
2118.512	1127.153
2126.189	1130.586
2133.951	1134.055
2141.792	1137.552
2149.703	1141.066
2157.677	1144.588
2165.706	1148.109
2173.782	1151.617
2181.898	1155.104
2190.045	1158.560
2198.220	1161.983
2206.419	1165.372
2214.638	1168.729
2222.874	1172.052
2231.122	1175.341
2239.381	1178.598
2247.646	1181.822
2255.914	1185.014
2264.181	1188.173
2272.444	1191.300
2280.700	1194.394
2288.944	1197.457
2297.174	1200.487
2305.386	1203.486
2313.576	1206.453
2321.742	1209.388
2329.878	1212.292
2337.983	1215.165
2346.053	1218.006
2354.084	1220.817
2362.072	1223.597
2370.014	1226.346
2377.907	1229.065
2385.748	1231.753
2393.531	1234.411
2401.256	1237.038
2408.917	1239.636
2416.511	1242.204
2424.035	1244.742
2431.485	1247.250
2438.858	1249.729
2446.150	1252.179
2453.359	1254.599
2460.479	1256.990
2467.509	1259.353
2474.444	1261.687
2481.281	1263.992
2488.017	1266.268
2494.647	1268.516
2501.169	1270.736
2507.580	1272.928
2513.874	1275.092
2520.050	1277.228
2526.103	1279.336
2532.031	1281.417
2537.834	1283.472
2543.514	1285.504
2549.076	1287.515
2554.520	1289.508
2559.851	1291.484
2565.071	1293.448
2570.182	1295.401
2575.189	1297.345
2580.093	1299.284
2584.897	1301.219
2589.604	1303.154
2594.217	1305.090
2598.739	1307.030
2603.173	1308.977
2607.521	1310.933
2611.786	1312.901
2615.971	1314.883
2620.079	1316.881
2624.113	1318.899
2628.075	1320.938
2631.969	1323.002
2635.796	1325.092
2639.561	1327.211
2643.266	1329.362
2646.913	1331.547
2650.505	1333.769
2654.046	1336.030
2657.538	1338.332
2660.984	1340.676
2664.388	1343.063
2667.753	1345.493
2671.083	1347.968
2674.381	1350.487
2677.650	1353.051
2680.895	1355.661
2684.117	1358.318
2687.321	1361.021
2690.510	1363.773
2693.687	1366.572
2696.856	1369.420
2700.020	1372.318
2703.183	1375.266
2706.348	1378.264
2709.518	1381.314
2712.696	1384.416
2715.887	1387.570
2719.094	1390.777
2722.319	1394.038
2725.567	1397.353
2728.840	1400.723
2732.143	1404.148
2735.475	1407.629
2738.831	1411.163
2742.201	1414.748
2745.578	1418.381
2748.951	1422.058
2752.312	1425.778
2755.654	1429.537
2758.966	1433.334
2762.240	1437.164
2765.468	1441.026
2768.640	1444.916
2771.749	1448.833
2774.785	1452.772
2777.739	1456.733
2780.603	1460.711
2783.369	1464.703
2786.026	1468.709
2788.568	1472.724
2790.984	1476.745
2793.267	1480.771
2795.407	1484.798
2797.396	1488.824
2799.224	1492.846
2800.885	1496.861
2802.367	1500.866
2803.664	1504.859
2804.768	1508.837
2805.685	1512.800
2806.430	1516.746
2807.020	1520.675
2807.468	1524.588
2807.791	1528.484
2808.003	1532.362
2808.120	1536.222
2808.157	1540.064
2808.129	1543.888
2808.051	1547.693
2807.938	1551.479
2807.806	1555.246
2807.670	1558.994
2807.544	1562.721
2807.445	1566.429
2807.387	1570.115
2807.386	1573.782
2807.457	1577.427
2807.614	1581.051
2807.873	1584.653
2808.249	1588.234
2808.744	1591.793
2809.354	1595.334
2810.074	1598.857
2810.897	1602.366
2811.820	1605.862
2812.836	1609.346
2813.941	1612.821
2815.130	1616.289
2816.396	1619.751
2817.736	1623.209
2819.144	1626.667
2820.615	1630.124
2822.143	1633.584
2823.723	1637.048
2825.351	1640.518
2827.020	1643.996
2828.726	1647.484
2830.464	1650.985
2832.229	1654.499
2834.014	1658.028
2835.816	1661.575
2837.629	1665.137
2839.448	1668.711
2841.267	1672.296
2843.083	1675.888
2844.890	1679.485
2846.683	1683.085
2848.457	1686.685
2850.207	1690.282
2851.927	1693.875
2853.614	1697.460
2855.261	1701.035
2856.865	1704.598
2858.419	1708.146
2859.920	1711.676
2861.361	1715.186
2862.738	1718.674
2864.046	1722.137
2865.280	1725.572
2866.434	1728.978
2867.505	1732.350
2868.486	1735.688
2869.371	1738.984
2870.153	1742.227
2870.823	1745.409
2871.372	1748.518
2871.794	1751.544
2872.079	1754.477
2872.220	1757.306
2872.209	1760.020
2872.038	1762.611
2871.698	1765.066
2871.181	1767.377
2870.479	1769.532
2869.585	1771.521
2868.491	1773.333
2867.188	1774.960
2865.686	1776.405
2864.002	1777.680
2862.159	1778.799
2860.175	1779.776
2858.069	1780.623
2855.862	1781.354
2853.574	1781.982
2851.224	1782.521
2848.832	1782.985
2846.417	1783.385
2844.000	1783.736
2841.600	1784.051
2839.232	1784.344
2836.897	1784.634
2834.593	1784.937
2832.320	1785.272
2830.076	1785.656
2827.862	1786.109
2825.675	1786.646
2823.514	1787.287
2821.380	1788.049
2819.270	1788.951
2817.185	1790.009
2815.122	1791.243
2813.081	1792.669
2811.066	1794.291
2809.085	1796.099
2807.148	1798.080
2805.263	1800.223
2803.439	1802.515
2801.685	1804.945
2800.010	1807.501
2798.424	1810.171
2796.934	1812.943
2795.550	1815.805
2794.281	1818.744
2793.135	1821.750
2792.123	1824.811
2791.251	1827.914
2790.531	1831.047
2789.970	1834.198
2789.573	1837.360
2789.334	1840.531
2789.243	1843.715
2789.291	1846.913
2789.468	1850.129
2789.763	1853.365
2790.169	1856.623
2790.674	1859.906
2791.271	1863.217
2791.947	1866.557
2792.695	1869.929
2793.505	1873.336
2794.367	1876.781
2795.271	1880.265
2796.209	1883.791
2797.169	1887.362
2798.144	1890.980
2799.122	1894.647
2800.095	1898.367
2801.054	1902.138
