X	Y
1739.000	2470.000
1738.954	2466.296
1738.991	2462.458
1739.112	2458.495
1739.316	2454.413
1739.602	2450.220
1739.970	2445.924
1740.419	2441.533
1740.948	2437.055
1741.558	2432.496
1742.248	2427.865
1743.016	2423.170
1743.864	2418.418
1744.789	2413.616
1745.792	2408.773
1746.871	2403.896
1748.028	2398.993
1749.260	2394.071
1750.567	2389.138
1751.949	2384.202
1753.406	2379.271
1754.937	2374.352
1756.540	2369.452
1758.217	2364.580
1759.965	2359.743
1761.785	2354.949
1763.677	2350.206
1765.639	2345.521
1767.671	2340.902
1769.772	2336.356
1771.944	2331.886
1774.187	2327.489
1776.505	2323.159
1778.899	2318.892
1781.370	2314.683
1783.922	2310.528
1786.556	2306.422
1789.275	2302.360
1792.079	2298.338
1794.972	2294.351
1797.955	2290.395
1801.031	2286.465
1804.201	2282.556
1807.468	2278.663
1810.833	2274.783
1814.298	2270.910
1817.866	2267.040
1821.539	2263.168
1825.319	2259.289
1829.207	2255.400
1833.206	2251.494
1837.318	2247.569
1841.544	2243.618
1845.888	2239.638
1850.350	2235.624
1854.934	2231.571
1859.640	2227.474
1864.472	2223.330
1869.430	2219.132
1874.518	2214.878
1879.737	2210.561
1885.089	2206.178
1890.577	2201.724
1896.199	2197.196
1901.952	2192.598
1907.831	2187.931
1913.831	2183.198
1919.947	2178.402
1926.175	2173.546
1932.510	2168.632
1938.946	2163.662
1945.480	2158.641
1952.107	2153.569
1958.821	2148.451
1965.618	2143.288
1972.494	2138.083
1979.443	2132.838
1986.461	2127.558
1993.543	2122.243
2000.684	2116.898
2007.879	2111.523
2015.124	2106.123
2022.415	2100.700
2029.745	2095.256
2037.111	2089.794
2044.507	2084.317
2051.929	2078.828
2059.373	2073.328
2066.833	2067.822
2074.304	2062.310
2081.783	2056.797
2089.263	2051.284
2096.741	2045.775
2104.212	2040.272
2111.670	2034.777
2119.111	2029.294
2126.531	2023.825
2133.924	2018.372
2141.287	2012.939
2148.613	2007.528
2155.898	2002.141
2163.138	1996.782
2170.328	1991.452
2177.462	1986.156
2184.537	1980.894
2191.548	1975.671
2198.489	1970.488
2205.356	1965.348
2212.145	1960.254
2218.849	1955.209
2225.466	1950.215
2231.989	1945.275
2238.415	1940.391
2244.738	1935.566
2250.954	1930.804
2257.058	1926.106
2263.054	1921.473
2268.945	1916.906
2274.737	1912.406
2280.435	1907.973
2286.042	1903.607
2291.565	1899.310
2297.008	1895.081
2302.375	1890.922
2307.672	1886.833
2312.903	1882.814
2318.073	1878.867
2323.187	1874.990
2328.250	1871.187
2333.266	1867.455
2338.240	1863.798
2343.177	1860.214
2348.082	1856.704
2352.959	1853.269
2357.814	1849.910
