X	Y
1781.000	2554.000
1783.785	2551.683
1786.760	2549.559
1789.921	2547.623
1793.264	2545.868
1796.784	2544.288
1800.476	2542.877
1804.336	2541.629
1808.359	2540.539
1812.541	2539.600
1816.877	2538.806
1821.363	2538.151
1825.993	2537.630
1830.764	2537.235
1835.671	2536.962
1840.710	2536.803
1845.875	2536.754
1851.162	2536.808
1856.567	2536.959
1862.085	2537.201
1867.711	2537.528
1873.442	2537.934
1879.272	2538.414
1885.197	2538.959
1891.212	2539.567
1897.312	2540.229
1903.494	2540.940
1909.753	2541.694
1916.083	2542.485
1922.481	2543.307
1928.942	2544.153
1935.461	2545.019
1942.034	2545.897
1948.657	2546.783
1955.324	2547.669
1962.031	2548.550
1968.773	2549.420
1975.547	2550.273
1982.347	2551.103
1989.168	2551.903
1996.008	2552.668
2002.859	2553.392
2009.719	2554.069
2016.584	2554.694
2023.451	2555.269
2030.320	2555.796
2037.190	2556.278
2044.060	2556.717
2050.928	2557.114
2057.793	2557.473
2064.656	2557.796
2071.513	2558.085
2078.365	2558.342
2085.210	2558.569
2092.047	2558.770
2098.876	2558.945
2105.694	2559.098
2112.502	2559.230
2119.297	2559.345
2126.079	2559.444
2132.847	2559.529
2139.599	2559.604
2146.335	2559.669
2153.054	2559.728
2159.753	2559.783
2166.434	2559.836
2173.094	2559.889
2179.731	2559.945
2186.346	2560.006
2192.937	2560.074
2199.503	2560.152
2206.043	2560.241
2212.556	2560.345
2219.041	2560.465
2225.496	2560.604
2231.921	2560.763
2238.314	2560.946
2244.676	2561.155
2251.003	2561.391
2257.296	2561.658
2263.553	2561.957
2269.773	2562.291
2275.955	2562.662
2282.099	2563.073
2288.202	2563.524
2294.264	2564.020
2300.284	2564.562
2306.261	2565.153
2312.194	2565.795
2318.081	2566.489
2323.922	2567.239
2329.715	2568.047
2335.459	2568.915
2341.154	2569.844
2346.799	2570.836
2352.392	2571.889
2357.934	2573.002
2363.424	2574.176
2368.861	2575.409
2374.244	2576.701
2379.573	2578.050
2384.847	2579.458
2390.066	2580.922
2395.229	2582.442
2400.335	2584.018
2405.384	2585.649
2410.374	2587.334
2415.306	2589.073
2420.179	2590.864
2424.992	2592.708
2429.745	2594.604
2434.436	2596.551
2439.066	2598.549
2443.633	2600.596
2448.137	2602.692
2452.578	2604.837
2456.954	2607.030
2461.265	2609.271
2465.510	2611.557
2469.690	2613.890
2473.802	2616.269
2477.847	2618.692
2481.824	2621.159
2485.732	2623.669
2489.571	2626.223
2493.340	2628.818
2497.038	2631.455
2500.665	2634.133
2504.219	2636.852
2507.702	2639.610
2511.111	2642.406
2514.446	2645.242
2517.708	2648.115
2520.899	2651.025
2524.021	2653.972
2527.077	2656.955
2530.068	2659.973
2532.997	2663.026
2535.865	2666.114
2538.676	2669.235
2541.431	2672.389
2544.132	2675.576
2546.781	2678.795
2549.382	2682.045
2551.936	2685.326
2554.444	2688.637
2556.910	2691.978
2559.335	2695.348
2561.722	2698.747
2564.073	2702.173
2566.390	2705.627
2568.675	2709.107
2570.931	2712.614
2573.159	2716.146
2575.362	2719.703
2577.542	2723.285
2579.700	2726.890
2581.841	2730.519
2583.964	2734.170
2586.074	2737.844
2588.171	2741.539
2590.258	2745.255
2592.338	2748.992
2594.412	2752.748
2596.480	2756.523
2598.541	2760.316
2600.590	2764.125
2602.625	2767.948
2604.640	2771.785
2606.633	2775.633
2608.601	2779.491
2610.539	2783.357
2612.444	2787.231
2614.314	2791.111
2616.143	2794.994
2617.929	2798.880
2619.669	2802.768
2621.358	2806.655
2622.993	2810.540
2624.571	2814.421
2626.087	2818.298
2627.540	2822.169
2628.924	2826.031
2630.237	2829.885
2631.475	2833.728
2632.634	2837.558
2633.711	2841.374
2634.703	2845.176
2635.605	2848.960
2636.416	2852.726
2637.129	2856.472
2637.743	2860.198
2638.254	2863.900
2638.658	2867.578
2638.952	2871.230
2639.133	2874.856
2639.203	2878.456
2639.167	2882.032
2639.031	2885.587
2638.798	2889.123
2638.474	2892.643
2638.064	2896.148
2637.573	2899.642
2637.004	2903.126
2636.364	2906.602
2635.657	2910.073
2634.889	2913.542
2634.063	2917.010
2633.185	2920.480
2632.259	2923.954
2631.292	2927.435
2630.286	2930.924
2629.248	2934.424
2628.181	2937.938
2627.092	2941.466
2625.985	2945.013
2624.864	2948.580
2623.735	2952.170
2622.603	2955.784
2621.471	2959.426
2620.346	2963.096
2619.232	2966.799
2618.135	2970.535
2617.057	2974.307
2616.000	2978.113
2614.962	2981.948
2613.944	2985.811
2612.943	2989.696
2611.960	2993.602
2610.992	2997.524
2610.040	3001.459
2609.103	3005.405
2608.178	3009.356
2607.266	3013.311
2606.366	3017.265
2605.477	3021.215
2604.597	3025.158
2603.727	3029.090
2602.864	3033.008
2602.009	3036.909
2601.160	3040.789
2600.316	3044.645
2599.477	3048.473
2598.641	3052.270
2597.808	3056.032
2596.977	3059.757
2596.146	3063.440
2595.316	3067.079
2594.484	3070.669
2593.651	3074.209
2592.815	3077.693
2591.976	3081.119
2591.131	3084.484
2590.283	3087.783
2589.437	3091.016
2588.601	3094.180
2587.787	3097.274
2587.001	3100.297
2586.255	3103.246
2585.556	3106.120
2584.914	3108.917
2584.338	3111.636
2583.837	3114.276
2583.420	3116.834
2583.097	3119.310
2582.876	3121.701
2582.768	3124.005
2582.779	3126.222
2582.921	3128.350
2583.201	3130.387
2583.630	3132.331
2584.216	3134.181
2584.968	3135.936
2585.893	3137.594
2586.981	3139.167
2588.221	3140.662
2589.600	3142.092
2591.106	3143.468
2592.726	3144.799
2594.447	3146.097
2596.258	3147.373
2598.145	3148.637
2600.097	3149.900
