X	Y
335.000	209.500
335.474	208.241
336.267	207.019
337.309	205.809
338.531	204.588
339.861	203.332
341.228	202.016
342.564	200.616
343.797	199.109
344.891	197.480
345.870	195.738
346.768	193.893
347.618	191.954
348.453	189.931
349.305	187.835
350.208	185.675
351.194	183.462
352.298	181.204
353.550	178.913
354.977	176.598
356.569	174.264
358.314	171.918
360.196	169.566
362.201	167.214
364.314	164.867
366.523	162.531
368.810	160.213
371.164	157.917
373.568	155.651
376.010	153.420
378.473	151.230
380.944	149.086
383.409	146.995
385.855	144.961
388.278	142.984
390.682	141.058
393.071	139.177
395.447	137.338
397.813	135.535
400.174	133.763
402.530	132.017
404.887	130.292
407.247	128.582
409.612	126.884
411.987	125.192
414.375	123.500
416.777	121.805
419.198	120.102
421.640	118.392
424.103	116.679
426.592	114.963
429.106	113.247
431.649	111.534
434.222	109.824
436.828	108.120
439.467	106.425
442.143	104.740
444.857	103.067
447.611	101.408
450.407	99.766
453.247	98.142
456.133	96.539
459.056	94.955
462.009	93.391
464.983	91.846
467.970	90.320
470.961	88.811
473.946	87.319
476.919	85.844
479.869	84.385
482.789	82.942
485.669	81.513
488.501	80.098
491.277	78.697
493.988	77.310
496.625	75.934
499.183	74.572
501.672	73.226
504.104	71.901
506.492	70.603
508.847	69.334
511.183	68.101
513.510	66.907
515.842	65.757
518.191	64.656
520.570	63.608
522.989	62.618
525.463	61.690
528.000	60.828
530.603	60.031
533.266	59.293
535.985	58.610
538.754	57.977
541.570	57.390
544.427	56.845
547.320	56.335
550.246	55.857
553.199	55.407
556.174	54.979
559.168	54.569
562.174	54.172
565.189	53.784
568.199	53.413
571.185	53.078
574.130	52.796
577.013	52.586
579.816	52.466
582.519	52.455
585.103	52.570
587.550	52.830
589.841	53.254
591.956	53.860
593.876	54.666
595.582	55.687
597.053	56.894
598.266	58.229
599.199	59.631
599.828	61.043
600.130	62.405
600.084	63.658
599.674	64.749
598.958	65.700
598.040	66.573
597.022	67.432
596.009	68.339
595.103	69.358
594.397	70.541
593.925	71.869
593.696	73.296
593.721	74.780
594.010	76.274
594.574	77.735
595.422	79.119
596.517	80.413
597.776	81.635
599.110	82.807
600.433	83.949
601.658	85.085
602.695	86.233
603.460	87.417
603.891	88.648
604.069	89.902
604.118	91.143
604.160	92.334
604.318	93.439
604.712	94.422
605.390	95.278
606.316	96.040
607.446	96.741
608.741	97.416
610.158	98.097
611.656	98.820
613.193	99.603
614.727	100.453
616.217	101.372
617.622	102.366
618.898	103.438
620.006	104.593
620.902	105.834
621.551	107.159
621.943	108.533
622.081	109.905
621.966	111.225
621.602	112.445
620.990	113.514
620.135	114.393
619.062	115.080
617.797	115.581
616.366	115.904
614.796	116.056
613.114	116.043
611.347	115.875
609.546	115.609
607.773	115.328
606.091	115.119
604.564	115.068
603.256	115.260
602.230	115.782
601.537	116.704
601.122	117.963
600.864	119.419
600.644	120.930
600.343	122.355
599.842	123.552
599.025	124.388
597.877	124.845
596.474	125.022
594.894	125.020
593.218	124.940
591.525	124.883
589.895	124.951
588.398	125.235
587.032	125.742
585.758	126.434
584.536	127.273
583.325	128.221
582.084	129.239
580.774	130.290
579.367	131.338
577.940	132.374
576.611	133.400
575.503	134.417
574.734	135.429
574.426	136.436
574.695	137.441
575.515	138.445
576.694	139.447
578.032	140.449
579.328	141.451
580.379	142.453
580.986	143.455
580.992	144.458
580.446	145.468
579.456	146.492
578.129	147.536
576.574	148.606
574.899	149.709
573.211	150.851
571.607	152.039
570.120	153.274
568.757	154.557
567.526	155.888
566.437	157.267
565.497	158.696
564.715	160.174
564.098	161.703
563.654	163.280
563.380	164.889
563.270	166.507
563.317	168.111
563.515	169.678
563.857	171.185
564.337	172.609
564.948	173.930
565.671	175.155
566.484	176.310
567.365	177.419
568.289	178.507
569.235	179.597
570.178	180.716
571.085	181.873
571.893	183.050
572.538	184.221
572.955	185.363
573.077	186.451
572.843	187.463
572.272	188.409
571.468	189.336
570.544	190.295
569.609	191.333
568.774	192.500
568.145	193.842
567.759	195.351
567.600	196.980
567.652	198.683
567.899	200.412
568.325	202.118
568.914	203.756
569.649	205.276
570.514	206.648
571.491	207.877
572.562	208.972
573.709	209.943
574.915	210.800
576.162	211.554
577.431	212.214
578.707	212.802
579.971	213.359
581.210	213.925
582.406	214.542
583.543	215.251
584.606	216.095
585.582	217.097
586.471	218.240
587.275	219.493
587.996	220.829
588.635	222.218
589.195	223.633
589.677	225.044
590.062	226.426
590.303	227.758
590.353	229.018
590.163	230.185
589.686	231.237
588.879	232.155
587.775	232.943
586.441	233.616
584.948	234.188
583.365	234.674
581.761	235.091
580.207	235.453
578.762	235.778
577.432	236.097
576.202	236.444
575.059	236.857
573.986	237.372
572.969	238.023
572.009	238.832
571.161	239.766
570.496	240.780
570.081	241.828
569.985	242.865
570.254	243.854
570.788	244.809
571.435	245.762
572.041	246.745
572.456	247.791
572.541	248.926
572.282	250.126
571.713	251.345
570.870	252.540
569.788	253.664
568.505	254.674
567.053	255.525
565.456	256.204
563.729	256.716
561.886	257.066
559.941	257.261
557.909	257.304
555.804	257.203
553.641	256.963
551.434	256.588
549.197	256.087
546.937	255.476
544.658	254.776
542.367	254.010
540.066	253.199
537.761	252.364
535.457	251.527
533.159	250.709
530.870	249.932
528.596	249.218
526.342	248.587
524.111	248.059
521.906	247.631
519.726	247.291
517.572	247.030
