X	Y
349.000	243.500
350.468	242.279
352.245	241.292
354.306	240.516
356.627	239.932
359.181	239.517
361.946	239.252
364.894	239.114
368.003	239.083
371.245	239.139
374.598	239.259
378.035	239.423
381.532	239.611
385.074	239.813
388.654	240.029
392.263	240.259
395.895	240.504
399.542	240.762
403.196	241.035
406.850	241.323
410.497	241.625
414.129	241.941
417.738	242.272
421.317	242.617
424.858	242.977
428.355	243.351
431.799	243.740
435.183	244.144
438.500	244.563
441.746	245.001
444.915	245.461
448.001	245.945
451.000	246.456
453.906	246.998
456.715	247.572
459.420	248.182
462.017	248.831
464.501	249.522
466.866	250.257
469.108	251.040
471.226	251.872
473.244	252.752
475.187	253.678
477.083	254.648
478.957	255.661
480.837	256.714
482.749	257.805
484.719	258.933
486.775	260.096
488.938	261.291
491.196	262.519
493.509	263.782
495.837	265.079
498.140	266.414
500.378	267.788
502.512	269.201
504.501	270.655
506.307	272.151
507.889	273.691
509.207	275.277
510.243	276.910
511.026	278.593
511.593	280.331
511.983	282.126
512.233	283.983
512.379	285.905
512.459	287.896
512.511	289.960
512.570	292.088
512.672	294.248
512.848	296.406
513.132	298.527
513.558	300.575
514.160	302.515
514.970	304.312
516.022	305.931
517.347	307.340
518.925	308.550
520.703	309.605
522.624	310.549
524.635	311.425
526.680	312.279
528.704	313.153
530.651	314.093
532.468	315.142
534.101	316.341
535.541	317.687
536.801	319.153
537.898	320.710
538.844	322.330
539.655	323.985
540.345	325.646
540.930	327.285
541.414	328.872
541.754	330.361
541.888	331.702
541.751	332.843
541.281	333.735
540.421	334.332
539.188	334.652
537.654	334.762
535.896	334.732
533.986	334.628
531.999	334.520
530.009	334.476
528.091	334.562
526.317	334.817
524.756	335.249
523.479	335.866
522.555	336.675
522.055	337.682
522.033	338.889
522.402	340.242
523.000	341.657
523.658	343.050
524.211	344.337
524.495	345.433
524.373	346.273
523.866	346.883
523.044	347.319
521.973	347.636
520.721	347.866
519.355	348.013
517.938	348.084
516.539	348.084
515.221	348.018
514.040	347.900
512.966	347.804
511.936	347.830
510.888	348.078
509.758	348.648
508.523	349.588
507.249	350.833
506.014	352.303
504.894	353.919
503.969	355.600
503.315	357.266
503.009	358.838
503.108	360.250
503.547	361.522
504.221	362.701
505.023	363.835
505.847	364.972
506.588	366.159
507.158	367.422
507.521	368.722
507.647	370.012
507.509	371.243
507.077	372.367
506.339	373.348
505.360	374.225
504.239	375.063
503.074	375.928
501.962	376.884
501.002	377.997
500.270	379.318
499.764	380.832
499.461	382.511
499.336	384.326
499.367	386.249
499.530	388.251
499.802	390.302
500.160	392.375
500.591	394.450
501.095	396.524
501.676	398.590
502.333	400.645
503.069	402.683
503.886	404.700
504.784	406.692
505.766	408.654
506.832	410.580
507.976	412.473
509.172	414.343
510.397	416.203
511.625	418.063
512.830	419.936
513.988	421.835
515.073	423.770
516.060	425.754
516.924	427.798
517.641	429.908
518.198	432.049
518.583	434.174
518.786	436.236
518.796	438.187
518.602	439.982
518.192	441.573
517.557	442.912
516.691	443.959
515.626	444.706
514.402	445.154
513.061	445.304
511.643	445.159
510.190	444.721
508.722	444.012
507.245	443.076
505.767	441.954
504.291	440.688
502.825	439.320
501.374	437.893
499.943	436.449
498.537	435.028
497.149	433.655
495.762	432.341
494.361	431.101
492.930	429.947
