X	Y
873.000	643.000
873.706	642.021
874.524	641.095
875.452	640.217
876.487	639.383
877.629	638.590
878.873	637.832
880.220	637.107
881.666	636.409
883.209	635.735
884.848	635.081
886.580	634.442
888.404	633.815
890.317	633.195
892.317	632.578
894.403	631.960
896.572	631.337
898.822	630.705
901.151	630.060
903.558	629.397
906.039	628.713
908.594	628.006
911.219	627.276
913.912	626.526
916.672	625.755
919.495	624.965
922.380	624.158
925.325	623.334
928.326	622.494
931.383	621.640
934.492	620.773
937.651	619.893
940.858	619.002
944.111	618.102
947.407	617.192
950.745	616.275
954.121	615.352
957.534	614.423
960.982	613.489
964.462	612.553
967.971	611.614
971.508	610.675
975.071	609.735
978.656	608.797
982.263	607.861
985.887	606.929
989.529	606.002
993.184	605.080
996.850	604.165
1000.527	603.259
1004.210	602.361
1007.898	601.474
1011.589	600.598
1015.281	599.735
1018.970	598.885
1022.656	598.050
1026.335	597.231
1030.005	596.429
1033.664	595.646
1037.311	594.880
1040.946	594.133
1044.569	593.403
1048.179	592.690
1051.777	591.994
1055.363	591.313
1058.936	590.648
1062.497	589.997
1066.045	589.362
1069.581	588.739
1073.104	588.130
1076.615	587.534
1080.113	586.951
1083.598	586.378
1087.070	585.818
1090.530	585.267
1093.977	584.727
1097.412	584.197
1100.833	583.676
1104.242	583.163
1107.637	582.658
1111.020	582.161
1114.390	581.671
1117.746	581.188
1121.090	580.710
1124.421	580.238
1127.738	579.771
1131.042	579.308
1134.333	578.849
1137.611	578.394
1140.876	577.941
1144.127	577.491
1147.365	577.042
1150.590	576.595
1153.801	576.149
1156.999	575.702
1160.183	575.256
1163.354	574.809
1166.511	574.361
1169.653	573.913
1172.780	573.466
1175.890	573.021
1178.983	572.579
1182.058	572.141
1185.113	571.707
1188.149	571.279
1191.165	570.857
1194.159	570.442
1197.130	570.036
1200.078	569.639
1203.003	569.251
1205.902	568.875
1208.776	568.510
1211.623	568.157
1214.442	567.818
1217.233	567.494
1219.996	567.185
1222.728	566.892
1225.429	566.616
1228.099	566.358
1230.736	566.119
1233.340	565.899
1235.910	565.700
1238.445	565.523
1240.943	565.368
1243.405	565.236
1245.830	565.128
1248.216	565.045
1250.562	564.989
1252.870	564.959
1255.140	564.955
1257.375	564.979
1259.577	565.029
1261.747	565.107
1263.889	565.211
1266.003	565.343
1268.093	565.503
1270.159	565.689
1272.205	565.904
1274.232	566.146
1276.242	566.416
1278.238	566.714
1280.221	567.040
1282.194	567.394
1284.158	567.777
1286.116	568.188
1288.070	568.627
1290.021	569.095
1291.973	569.592
1293.926	570.117
1295.883	570.671
1297.846	571.255
1299.814	571.868
1301.782	572.513
1303.744	573.192
1305.696	573.906
1307.631	574.657
1309.545	575.447
1311.432	576.278
1313.287	577.151
1315.105	578.069
1316.881	579.033
1318.610	580.044
1320.285	581.106
1321.902	582.219
1323.456	583.386
1324.941	584.608
1326.352	585.887
1327.684	587.225
1328.931	588.623
1330.089	590.084
1331.151	591.610
1332.114	593.201
1332.973	594.859
1333.730	596.580
1334.389	598.361
1334.952	600.197
1335.423	602.084
1335.805	604.019
1336.101	605.998
1336.313	608.017
1336.445	610.071
1336.499	612.157
1336.479	614.271
1336.389	616.409
1336.230	618.567
1336.006	620.741
1335.720	622.927
1335.375	625.122
1334.973	627.321
1334.519	629.521
1334.015	631.717
1333.464	633.905
1332.869	636.083
1332.233	638.245
1331.559	640.388
1330.846	642.510
1330.092	644.610
1329.294	646.688
1328.450	648.743
1327.556	650.775
1326.611	652.782
1325.610	654.764
1324.553	656.721
1323.435	658.652
1322.255	660.556
1321.009	662.432
1319.696	664.280
1318.311	666.100
1316.853	667.890
1315.319	669.650
1313.706	671.379
1312.012	673.077
1310.234	674.743
1308.369	676.376
1306.414	677.976
1304.367	679.542
1302.225	681.074
1299.985	682.570
1297.646	684.030
1295.203	685.454
1292.657	686.841
1290.012	688.192
1287.271	689.506
1284.438	690.786
1281.518	692.030
1278.514	693.240
1275.431	694.416
1272.272	695.559
1269.041	696.668
1265.742	697.745
1262.380	698.790
1258.957	699.803
1255.479	700.786
1251.948	701.737
1248.370	702.658
1244.748	703.550
1241.086	704.413
1237.388	705.246
1233.657	706.052
1229.899	706.830
1226.116	707.580
1222.313	708.304
1218.495	709.001
1214.663	709.672
1210.824	710.318
1206.980	710.939
1203.135	711.536
1199.295	712.108
1195.462	712.657
1191.641	713.183
1187.834	713.687
1184.048	714.168
1180.285	714.628
1176.549	715.067
1172.845	715.485
1169.176	715.883
1165.547	716.261
1161.961	716.620
1158.422	716.960
1154.933	717.282
1151.494	717.587
1148.100	717.874
1144.750	718.144
1141.440	718.398
1138.168	718.636
1134.930	718.859
1131.723	719.068
1128.545	719.262
1125.392	719.443
1122.262	719.610
1119.152	719.765
1116.058	719.907
1112.978	720.038
1109.909	720.158
1106.847	720.267
1103.791	720.366
1100.736	720.455
1097.681	720.536
1094.621	720.607
1091.555	720.671
1088.479	720.727
1085.390	720.776
1082.285	720.818
1079.162	720.855
1076.017	720.886
1072.848	720.912
1069.651	720.933
1066.423	720.950
1063.162	720.964
1059.865	720.975
1056.529	720.983
1053.150	720.990
1049.726	720.995
1046.254	720.999
1042.731	721.002
1039.159	721.005
1035.543	721.004
1031.887	721.000
1028.196	720.991
1024.475	720.975
1020.728	720.951
1016.960	720.918
1013.176	720.874
1009.381	720.818
1005.579	720.749
1001.774	720.664
997.973	720.564
994.178	720.446
990.396	720.309
986.630	720.152
982.886	719.973
979.168	719.771
975.481	719.545
971.829	719.293
968.218	719.013
964.651	718.706
961.134	718.368
957.672	718.000
954.268	717.598
950.929	717.163
947.657	716.692
944.459	716.185
941.339	715.640
938.301	715.055
935.351	714.429
932.493	713.761
929.731	713.050
927.071	712.294
924.516	711.491
922.073	710.641
919.745	709.742
917.537	708.792
915.450	707.793
913.478	706.747
911.612	705.661
909.844	704.537
908.166	703.382
906.571	702.199
905.050	700.994
903.596	699.770
902.200	698.533
900.854	697.286
899.551	696.036
898.283	694.785
897.041	693.540
895.818	692.304
894.605	691.082
893.396	689.878
892.180	688.698
890.952	687.546
889.703	686.426
888.424	685.344
887.109	684.303
885.763	683.302
884.396	682.337
883.021	681.404
881.648	680.498
880.290	679.616
878.959	678.753
877.665	677.904
876.421	677.066
875.238	676.234
874.128	675.405
873.102	674.572
872.172	673.734
871.349	672.884
870.646	672.019
870.074	671.135
869.641	670.227
869.340	669.295
869.153	668.338
869.065	667.356
869.062	666.348
869.125	665.315
869.241	664.255
869.393	663.169
869.565	662.056
869.742	660.917
869.908	659.749
870.048	658.554
870.155	657.334
870.241	656.095
870.317	654.842
870.395	653.584
870.484	652.324
870.598	651.071
870.746	649.831
870.940	648.609
871.192	647.411
871.513	646.246
871.913	645.118
872.405	644.034
873.000	643.000
