X	Y
870.000	676.000
871.172	675.195
872.530	674.510
874.067	673.940
875.778	673.481
877.657	673.125
879.698	672.870
881.895	672.709
884.242	672.637
886.734	672.650
889.364	672.743
892.126	672.909
895.016	673.145
898.026	673.445
901.151	673.804
904.385	674.217
907.722	674.678
911.156	675.183
914.682	675.727
918.293	676.305
921.984	676.911
925.749	677.540
929.581	678.188
933.475	678.848
937.426	679.517
941.427	680.189
945.471	680.859
949.555	681.522
953.671	682.172
957.813	682.805
961.977	683.416
966.155	683.999
970.342	684.550
974.533	685.063
978.721	685.535
982.906	685.967
987.086	686.361
991.259	686.718
995.424	687.041
999.579	687.332
1003.722	687.592
1007.853	687.824
1011.970	688.028
1016.070	688.208
1020.154	688.365
1024.218	688.500
1028.262	688.616
1032.285	688.715
1036.284	688.798
1040.258	688.868
1044.205	688.926
1048.125	688.974
1052.015	689.013
1055.874	689.047
1059.701	689.077
1063.493	689.104
1067.250	689.131
1070.971	689.159
1074.652	689.190
1078.294	689.227
1081.894	689.271
1085.451	689.323
1088.963	689.387
1092.429	689.463
1095.848	689.553
1099.217	689.660
1102.536	689.786
1105.802	689.932
1109.015	690.099
1112.173	690.291
1115.274	690.509
1118.317	690.754
1121.300	691.029
1124.222	691.336
1127.084	691.675
1129.887	692.047
1132.631	692.455
1135.318	692.899
1137.947	693.380
1140.520	693.899
1143.038	694.458
1145.501	695.058
1147.911	695.699
1150.268	696.384
1152.572	697.113
1154.826	697.887
1157.029	698.708
1159.182	699.576
1161.286	700.493
1163.342	701.460
1165.351	702.478
1167.314	703.549
1169.231	704.673
1171.103	705.852
1172.931	707.086
1174.716	708.378
1176.459	709.727
1178.160	711.136
1179.819	712.604
1181.436	714.129
1183.008	715.707
1184.534	717.335
1186.012	719.009
1187.440	720.726
1188.816	722.482
1190.139	724.274
1191.406	726.099
1192.617	727.953
1193.768	729.833
1194.859	731.735
1195.888	733.657
1196.852	735.593
1197.750	737.542
1198.581	739.499
1199.342	741.461
1200.032	743.426
1200.648	745.388
1201.190	747.346
1201.656	749.295
1202.042	751.232
1202.349	753.154
1202.572	755.060
1202.710	756.948
1202.760	758.817
1202.719	760.666
1202.586	762.493
1202.357	764.298
1202.029	766.078
1201.601	767.833
1201.069	769.561
1200.431	771.261
1199.685	772.932
1198.828	774.572
1197.857	776.180
1196.771	777.755
1195.565	779.295
1194.238	780.800
1192.788	782.267
1191.211	783.696
1189.509	785.086
1187.686	786.439
1185.746	787.755
1183.695	789.035
1181.537	790.280
1179.277	791.491
1176.919	792.669
1174.467	793.815
1171.927	794.929
1169.303	796.014
1166.599	797.068
1163.821	798.095
1160.972	799.093
1158.058	800.066
1155.082	801.012
1152.050	801.934
1148.966	802.831
1145.835	803.706
1142.661	804.559
1139.450	805.391
1136.204	806.202
1132.930	806.995
1129.632	807.769
1126.313	808.525
1122.980	809.265
1119.636	809.990
1116.287	810.700
1112.936	811.396
1109.588	812.080
1106.249	812.751
1102.921	813.412
1099.607	814.061
1096.307	814.699
1093.019	815.325
1089.742	815.937
1086.477	816.536
1083.222	817.120
1079.976	817.690
1076.740	818.243
1073.512	818.780
1070.291	819.300
1067.077	819.803
1063.870	820.286
1060.668	820.751
1057.471	821.196
1054.278	821.621
1051.088	822.024
1047.901	822.406
1044.716	822.765
1041.533	823.101
1038.350	823.413
1035.167	823.700
1031.984	823.963
1028.799	824.199
1025.612	824.409
1022.422	824.592
1019.229	824.747
1016.032	824.873
1012.829	824.970
1009.622	825.037
1006.408	825.074
1003.187	825.079
999.958	825.053
996.722	824.994
993.477	824.901
990.227	824.774
986.975	824.612
983.724	824.414
980.478	824.179
977.241	823.907
974.015	823.595
970.804	823.243
967.611	822.851
964.440	822.418
961.295	821.941
958.177	821.422
955.092	820.858
952.041	820.248
949.030	819.593
946.060	818.890
943.135	818.140
940.259	817.340
937.435	816.490
934.667	815.590
931.957	814.638
929.310	813.633
926.728	812.575
924.215	811.462
921.774	810.294
919.409	809.070
917.123	807.788
914.919	806.448
912.801	805.049
910.772	803.590
908.836	802.070
906.990	800.491
905.231	798.856
903.554	797.169
901.954	795.432
900.428	793.649
898.969	791.823
897.575	789.959
896.239	788.058
894.959	786.124
893.728	784.161
892.544	782.172
891.400	780.160
890.293	778.129
889.218	776.082
888.171	774.022
887.146	771.952
886.140	769.877
885.148	767.798
884.165	765.720
883.187	763.646
882.209	761.580
881.227	759.523
880.236	757.481
879.233	755.455
878.219	753.448
877.199	751.460
876.180	749.490
875.166	747.541
874.163	745.613
873.175	743.705
872.208	741.818
871.268	739.954
870.359	738.112
869.487	736.293
868.656	734.497
867.873	732.726
867.143	730.979
866.470	729.256
865.860	727.560
865.318	725.890
864.850	724.246
864.460	722.629
864.154	721.040
863.937	719.479
863.809	717.945
863.761	716.435
863.783	714.944
863.865	713.469
863.997	712.006
864.171	710.551
864.377	709.100
864.604	707.650
864.843	706.197
865.084	704.736
865.318	703.265
865.536	701.779
865.727	700.274
865.881	698.747
865.990	697.194
866.046	695.613
866.060	694.010
866.049	692.397
866.029	690.783
866.017	689.180
866.029	687.597
866.083	686.045
866.194	684.534
866.381	683.075
866.658	681.679
867.044	680.356
867.554	679.116
868.206	677.970
869.016	676.927
870.000	676.000
