X	Y
511.000	404.000
511.469	402.405
512.137	400.746
512.993	399.029
514.025	397.257
515.223	395.436
516.575	393.569
518.070	391.661
519.697	389.717
521.445	387.741
523.303	385.737
525.259	383.711
527.303	381.666
529.424	379.607
531.609	377.538
533.849	375.465
536.132	373.391
538.447	371.321
540.782	369.259
543.127	367.211
545.471	365.179
547.802	363.170
550.111	361.186
552.398	359.227
554.667	357.290
556.920	355.373
559.159	353.474
561.390	351.589
563.614	349.717
565.834	347.855
568.053	346.001
570.276	344.152
572.504	342.306
574.740	340.461
576.989	338.614
579.252	336.762
581.534	334.904
583.836	333.037
586.162	331.159
588.516	329.267
590.899	327.358
593.316	325.431
595.769	323.483
598.261	321.512
600.796	319.514
603.376	317.489
606.004	315.433
608.680	313.349
611.399	311.239
614.160	309.108
616.960	306.958
619.795	304.794
622.663	302.618
625.560	300.435
628.485	298.247
631.434	296.058
634.405	293.871
637.394	291.690
640.398	289.519
643.416	287.360
646.443	285.218
649.478	283.095
652.516	280.995
655.556	278.922
658.595	276.879
661.629	274.869
664.656	272.896
667.673	270.964
670.677	269.075
673.665	267.234
676.635	265.443
679.583	263.706
682.507	262.027
685.403	260.409
688.270	258.856
691.104	257.369
693.906	255.950
696.677	254.597
699.418	253.311
702.128	252.090
704.808	250.934
707.460	249.843
710.083	248.816
712.678	247.852
715.246	246.953
717.788	246.115
720.304	245.341
722.794	244.628
725.260	243.976
727.701	243.386
730.119	242.855
732.514	242.385
734.887	241.974
737.238	241.623
739.568	241.329
741.877	241.094
744.166	240.917
746.435	240.798
748.681	240.740
750.903	240.746
753.098	240.818
755.264	240.959
757.401	241.171
759.504	241.457
761.573	241.820
763.606	242.261
765.601	242.783
767.555	243.390
769.467	244.083
771.334	244.864
773.155	245.738
774.928	246.705
776.651	247.768
778.322	248.931
779.939	250.188
781.502	251.535
783.008	252.968
784.458	254.480
785.849	256.066
787.181	257.721
788.452	259.440
789.662	261.217
790.808	263.047
791.891	264.925
792.907	266.846
793.858	268.804
794.741	270.794
795.554	272.811
796.298	274.850
796.971	276.904
797.571	278.971
798.098	281.052
798.551	283.151
798.930	285.271
799.234	287.416
799.462	289.590
799.614	291.797
799.689	294.039
799.686	296.321
799.606	298.646
799.446	301.019
799.208	303.441
798.889	305.919
798.489	308.453
798.008	311.050
797.446	313.712
796.800	316.442
796.072	319.245
795.259	322.124
794.363	325.082
793.384	328.117
792.326	331.221
791.192	334.389
789.986	337.615
788.710	340.892
787.369	344.214
785.965	347.574
784.502	350.966
782.983	354.384
781.411	357.821
779.790	361.272
778.123	364.730
776.413	368.188
774.664	371.640
772.878	375.080
771.060	378.501
769.212	381.898
767.338	385.264
765.440	388.592
763.523	391.877
761.590	395.111
759.643	398.289
757.687	401.405
755.724	404.451
753.758	407.422
751.792	410.311
749.829	413.112
747.873	415.819
745.927	418.426
743.992	420.930
742.065	423.332
740.145	425.635
738.232	427.840
736.321	429.949
734.414	431.962
732.506	433.881
730.598	435.709
728.687	437.445
726.772	439.093
724.850	440.653
722.921	442.126
720.983	443.515
719.033	444.821
717.071	446.046
715.094	447.190
713.102	448.255
711.092	449.244
709.062	450.157
707.012	450.995
704.939	451.761
702.840	452.455
700.712	453.077
698.553	453.627
696.359	454.107
694.128	454.515
691.855	454.854
689.539	455.122
687.177	455.322
684.764	455.452
682.299	455.513
679.778	455.507
677.198	455.432
674.556	455.290
671.849	455.081
669.075	454.805
666.230	454.463
663.311	454.056
660.315	453.582
657.239	453.044
654.081	452.441
650.847	451.779
647.543	451.060
644.177	450.292
640.755	449.477
637.286	448.621
633.775	447.728
630.229	446.804
626.657	445.853
623.065	444.880
619.460	443.889
615.849	442.886
612.239	441.875
608.638	440.861
605.052	439.849
601.489	438.843
597.955	437.849
594.458	436.870
591.004	435.912
587.602	434.980
584.257	434.078
580.977	433.211
577.770	432.384
574.642	431.601
571.599	430.868
568.651	430.189
565.802	429.569
563.061	429.012
560.433	428.522
557.911	428.095
555.489	427.723
553.160	427.402
550.914	427.125
548.745	426.886
546.645	426.677
544.606	426.495
542.620	426.331
540.681	426.180
538.780	426.036
536.910	425.893
535.062	425.743
533.230	425.582
531.405	425.403
529.581	425.200
527.748	424.966
525.908	424.697
524.082	424.394
522.292	424.057
520.564	423.688
518.921	423.287
517.388	422.855
515.988	422.395
514.747	421.906
513.687	421.390
512.834	420.848
512.210	420.281
511.839	419.689
511.695	419.069
511.710	418.413
511.812	417.710
511.932	416.953
511.999	416.133
511.952	415.241
511.801	414.277
511.578	413.240
511.321	412.131
511.064	410.950
510.841	409.699
510.689	408.378
510.641	406.988
510.733	405.528
511.000	404.000
