X	Y
515.000	420.000
516.069	418.940
517.431	418.056
519.069	417.338
520.966	416.779
523.103	416.370
525.463	416.101
528.028	415.965
530.780	415.953
533.702	416.055
536.775	416.264
539.983	416.571
543.306	416.967
546.728	417.444
550.231	417.992
553.797	418.604
557.408	419.271
561.046	419.983
564.695	420.732
568.335	421.511
571.949	422.309
575.520	423.119
579.034	423.934
582.492	424.753
585.896	425.576
589.247	426.404
592.547	427.237
595.799	428.074
599.004	428.916
602.164	429.763
605.281	430.616
608.358	431.474
611.396	432.337
614.396	433.206
617.362	434.081
620.294	434.962
623.195	435.849
626.067	436.742
628.912	437.641
631.731	438.547
634.527	439.460
637.302	440.379
640.057	441.306
642.795	442.239
645.517	443.180
648.225	444.128
650.917	445.088
653.592	446.060
656.250	447.049
658.888	448.056
661.506	449.085
664.102	450.138
666.676	451.217
669.226	452.327
671.750	453.468
674.248	454.644
676.718	455.858
679.159	457.113
681.571	458.410
683.950	459.754
686.298	461.145
688.611	462.588
690.889	464.085
693.131	465.639
695.336	467.252
697.502	468.925
699.629	470.655
701.715	472.438
703.760	474.270
705.763	476.147
707.723	478.065
709.640	480.019
711.512	482.007
713.338	484.023
715.119	486.064
716.852	488.125
718.538	490.203
720.174	492.294
721.762	494.394
723.298	496.498
724.784	498.602
726.217	500.703
727.597	502.797
728.924	504.879
730.195	506.946
731.407	508.999
732.552	511.039
733.626	513.069
734.623	515.089
735.536	517.102
736.361	519.109
737.092	521.112
737.722	523.113
738.246	525.113
738.659	527.114
738.954	529.117
739.126	531.125
739.170	533.139
739.078	535.161
738.847	537.192
738.478	539.233
737.979	541.284
737.358	543.344
736.622	545.414
735.779	547.494
734.838	549.583
733.806	551.681
732.690	553.788
731.500	555.904
730.243	558.028
728.926	560.161
727.558	562.302
726.146	564.452
724.698	566.609
723.223	568.775
721.727	570.948
720.219	573.128
718.701	575.314
717.169	577.497
715.620	579.674
714.050	581.837
712.456	583.981
710.835	586.101
709.182	588.190
707.495	590.242
705.770	592.252
704.003	594.213
702.190	596.121
700.329	597.968
698.416	599.749
696.448	601.459
694.420	603.091
692.329	604.640
690.173	606.099
687.946	607.463
685.647	608.726
683.276	609.887
680.838	610.951
678.336	611.918
675.776	612.794
673.162	613.581
670.499	614.283
667.791	614.902
665.043	615.442
662.259	615.906
659.444	616.297
656.602	616.619
653.737	616.874
650.855	617.067
647.960	617.199
645.056	617.275
642.148	617.297
639.240	617.269
636.338	617.194
633.445	617.075
630.565	616.915
627.703	616.714
624.863	616.467
622.045	616.169
619.255	615.815
616.494	615.402
613.766	614.924
611.073	614.376
608.419	613.754
605.807	613.053
603.240	612.268
600.720	611.395
598.250	610.429
595.835	609.366
593.476	608.200
591.176	606.927
588.940	605.543
586.768	604.042
584.666	602.419
582.635	600.671
580.676	598.796
578.786	596.799
576.961	594.687
575.194	592.467
573.483	590.146
571.822	587.730
570.206	585.226
568.632	582.641
567.095	579.982
565.589	577.255
564.111	574.467
562.656	571.625
561.220	568.736
559.797	565.807
558.383	562.844
556.974	559.853
555.565	556.843
554.151	553.819
552.728	550.788
551.292	547.757
549.837	544.733
548.360	541.723
546.856	538.733
545.329	535.765
543.786	532.820
542.235	529.900
540.681	527.005
539.133	524.136
537.597	521.293
536.081	518.479
534.592	515.693
533.136	512.936
531.721	510.209
530.355	507.513
529.043	504.849
527.794	502.218
526.614	499.620
525.510	497.057
524.490	494.528
523.561	492.036
522.729	489.581
522.003	487.163
521.388	484.784
520.893	482.445
520.516	480.143
520.245	477.877
520.064	475.641
519.958	473.430
519.910	471.241
519.906	469.068
519.930	466.908
519.967	464.757
520.000	462.608
520.016	460.460
519.998	458.305
519.930	456.142
519.798	453.964
519.585	451.768
519.277	449.549
518.858	447.303
518.329	445.033
517.718	442.751
517.055	440.475
516.371	438.217
515.695	435.994
515.058	433.819
514.490	431.710
514.022	429.679
513.684	427.743
513.506	425.916
513.518	424.213
513.751	422.650
514.235	421.240
515.000	420.000
