X	Y
1719.000	1119.000
1719.519	1116.776
1720.425	1114.584
1721.697	1112.417
1723.313	1110.263
1725.253	1108.115
1727.495	1105.963
1730.019	1103.799
1732.803	1101.613
1735.826	1099.396
1739.068	1097.140
1742.507	1094.835
1746.122	1092.473
1749.892	1090.043
1753.797	1087.538
1757.814	1084.948
1761.924	1082.264
1766.104	1079.477
1770.335	1076.579
1774.594	1073.559
1778.862	1070.410
1783.116	1067.122
1787.344	1063.690
1791.549	1060.117
1795.733	1056.406
1799.901	1052.563
1804.058	1048.589
1808.205	1044.490
1812.349	1040.267
1816.491	1035.927
1820.637	1031.471
1824.790	1026.904
1828.954	1022.230
1833.133	1017.451
1837.330	1012.573
1841.550	1007.598
1845.796	1002.530
1850.072	997.373
1854.383	992.131
1858.731	986.808
1863.122	981.406
1867.558	975.930
1872.043	970.384
1876.582	964.771
1881.178	959.095
1885.836	953.359
1890.558	947.568
1895.349	941.725
1900.213	935.833
1905.153	929.897
1910.174	923.920
1915.279	917.906
1920.473	911.859
1925.758	905.782
1931.139	899.678
1936.620	893.553
1942.204	887.409
1947.896	881.250
1953.699	875.079
1959.612	868.901
1965.630	862.718
1971.749	856.534
1977.965	850.351
1984.272	844.172
1990.667	838.002
1997.146	831.842
2003.703	825.696
2010.334	819.567
2017.036	813.458
2023.802	807.373
2030.630	801.314
2037.513	795.284
2044.449	789.287
2051.433	783.326
2058.459	777.404
2065.524	771.524
2072.623	765.688
2079.752	759.901
2086.906	754.166
2094.081	748.485
2101.272	742.861
2108.476	737.298
2115.686	731.799
2122.900	726.367
2130.112	721.004
2137.318	715.715
2144.513	710.503
2151.694	705.369
2158.856	700.318
2165.994	695.353
2173.103	690.476
2180.180	685.691
2187.220	681.001
2194.218	676.410
2201.170	671.919
2208.072	667.533
2214.919	663.254
2221.706	659.085
2228.430	655.031
2235.085	651.093
2241.667	647.274
2248.173	643.579
2254.596	640.010
2260.934	636.570
2267.181	633.262
2273.339	630.079
2279.410	627.015
2285.396	624.059
2291.300	621.205
2297.123	618.444
2302.868	615.768
2308.537	613.169
2314.132	610.637
2319.657	608.166
2325.112	605.747
2330.501	603.371
2335.825	601.030
2341.087	598.717
2346.290	596.422
2351.434	594.138
2356.523	591.856
2361.560	589.568
2366.545	587.266
2371.482	584.942
2376.373	582.587
2381.219	580.193
2386.024	577.752
2390.790	575.255
2395.518	572.695
2400.212	570.063
2404.873	567.351
2409.503	564.550
2414.106	561.653
2418.683	558.651
2423.236	555.536
2427.768	552.301
2432.282	548.950
2436.780	545.491
2441.266	541.933
2445.741	538.284
2450.210	534.551
2454.676	530.744
2459.140	526.870
2463.605	522.938
2468.076	518.955
2472.555	514.931
2477.043	510.872
2481.546	506.789
2486.064	502.688
2490.603	498.577
2495.163	494.466
2499.748	490.362
2504.361	486.274
2509.005	482.209
2513.683	478.177
2518.398	474.184
2523.152	470.240
2527.949	466.353
2532.791	462.530
2537.681	458.781
2542.622	455.113
2547.618	451.534
2552.670	448.053
2557.783	444.678
2562.958	441.417
2568.199	438.278
2573.508	435.270
2578.888	432.399
2584.337	429.663
2589.853	427.059
2595.432	424.580
2601.072	422.223
2606.770	419.983
2612.523	417.856
2618.328	415.836
2624.183	413.920
2630.084	412.102
2636.029	410.378
2642.015	408.744
2648.039	407.195
2654.099	405.726
2660.191	404.333
2666.312	403.011
2672.461	401.755
2678.634	400.561
2684.828	399.425
2691.040	398.342
2697.268	397.307
2703.509	396.315
2709.759	395.363
2716.017	394.445
2722.279	393.556
2728.543	392.693
2734.805	391.851
2741.063	391.025
2747.314	390.210
2753.556	389.402
2759.784	388.597
2765.998	387.789
2772.193	386.974
2778.367	386.151
2784.517	385.324
2790.640	384.501
2796.733	383.690
2802.794	382.900
2808.819	382.136
2814.806	381.409
2820.751	380.724
2826.653	380.090
2832.507	379.514
2838.311	379.005
2844.062	378.569
2849.757	378.216
2855.394	377.951
2860.969	377.784
2866.479	377.722
2871.923	377.772
2877.296	377.942
2882.596	378.241
2887.819	378.675
2892.964	379.253
2898.027	379.982
2903.005	380.870
2907.896	381.924
2912.696	383.153
2917.403	384.564
2922.013	386.165
2926.524	387.964
2930.933	389.967
2935.237	392.182
2939.437	394.604
2943.532	397.226
2947.523	400.043
2951.411	403.048
2955.194	406.236
2958.874	409.599
2962.451	413.132
2965.926	416.829
2969.297	420.683
2972.567	424.688
2975.735	428.838
2978.801	433.126
