X	Y
1746.000	1191.000
1749.698	1187.836
1753.634	1184.933
1757.801	1182.282
1762.192	1179.877
1766.799	1177.710
1771.617	1175.772
1776.638	1174.058
1781.854	1172.558
1787.260	1171.265
1792.847	1170.171
1798.609	1169.270
1804.539	1168.553
1810.629	1168.012
1816.874	1167.641
1823.265	1167.431
1829.796	1167.375
1836.460	1167.465
1843.249	1167.693
1850.157	1168.052
1857.177	1168.535
1864.301	1169.133
1871.523	1169.839
1878.835	1170.646
1886.232	1171.545
1893.704	1172.530
1901.247	1173.591
1908.851	1174.723
1916.512	1175.917
1924.221	1177.166
1931.971	1178.461
1939.756	1179.796
1947.568	1181.163
1955.400	1182.553
1963.246	1183.960
1971.099	1185.376
1978.951	1186.793
1986.795	1188.204
1994.624	1189.600
2002.432	1190.975
2010.211	1192.321
2017.954	1193.629
2025.655	1194.893
2033.305	1196.105
2040.899	1197.257
2048.430	1198.341
2055.889	1199.350
2063.271	1200.277
2070.571	1201.116
2077.791	1201.870
2084.935	1202.539
2092.003	1203.124
2098.999	1203.628
2105.924	1204.052
2112.781	1204.397
2119.573	1204.664
2126.302	1204.856
2132.970	1204.974
2139.579	1205.018
2146.132	1204.991
2152.632	1204.894
2159.079	1204.729
2165.478	1204.496
2171.830	1204.198
2178.137	1203.836
2184.402	1203.411
2190.627	1202.926
2196.815	1202.380
2202.968	1201.776
2209.088	1201.115
2215.177	1200.399
2221.239	1199.629
2227.274	1198.807
2233.287	1197.934
2239.278	1197.011
2245.251	1196.041
2251.207	1195.024
2257.149	1193.962
2263.079	1192.856
2269.000	1191.708
2274.915	1190.519
2280.824	1189.292
2286.731	1188.026
2292.638	1186.724
2298.548	1185.388
2304.462	1184.018
2310.384	1182.616
2316.314	1181.184
2322.257	1179.723
2328.213	1178.235
2334.186	1176.720
2340.178	1175.181
2346.189	1173.620
2352.221	1172.039
2358.273	1170.440
2364.344	1168.827
2370.436	1167.201
2376.548	1165.566
2382.681	1163.924
2388.833	1162.278
2395.006	1160.630
2401.200	1158.983
2407.414	1157.340
2413.649	1155.702
2419.905	1154.073
2426.181	1152.455
2432.478	1150.851
2438.796	1149.264
2445.135	1147.695
2451.494	1146.148
2457.875	1144.625
2464.277	1143.129
2470.701	1141.662
2477.145	1140.228
2483.611	1138.827
2490.098	1137.464
2496.607	1136.141
2503.137	1134.860
2509.689	1133.623
2516.262	1132.435
2522.858	1131.296
2529.475	1130.210
2536.114	1129.179
2542.774	1128.207
2549.457	1127.294
2556.162	1126.445
2562.888	1125.661
2569.637	1124.945
2576.409	1124.301
2583.202	1123.729
2590.018	1123.234
2596.856	1122.818
2603.717	1122.482
2610.601	1122.230
2617.507	1122.065
2624.435	1121.988
2631.387	1122.003
2638.360	1122.112
2645.353	1122.315
2652.359	1122.613
2659.377	1123.006
2666.402	1123.494
2673.431	1124.078
2680.458	1124.759
2687.481	1125.535
2694.495	1126.409
2701.497	1127.380
2708.483	1128.448
2715.448	1129.614
2722.390	1130.878
2729.303	1132.241
2736.185	1133.703
2743.031	1135.265
2749.838	1136.926
2756.601	1138.687
2763.316	1140.548
2769.980	1142.510
2776.590	1144.573
2783.140	1146.738
2789.627	1149.004
2796.048	1151.373
2802.398	1153.844
2808.673	1156.418
2814.870	1159.095
2820.984	1161.876
2827.012	1164.760
2832.951	1167.749
2838.795	1170.842
2844.541	1174.041
2850.186	1177.344
2855.724	1180.754
2861.154	1184.269
2866.469	1187.891
2871.668	1191.620
2876.745	1195.455
2881.697	1199.398
2886.521	1203.449
2891.211	1207.608
2895.765	1211.876
2900.178	1216.252
2904.446	1220.738
2908.566	1225.333
2912.534	1230.038
2916.349	1234.849
2920.012	1239.760
2923.525	1244.766
2926.888	1249.860
2930.103	1255.037
2933.170	1260.290
2936.092	1265.614
2938.868	1271.002
2941.501	1276.449
2943.991	1281.949
2946.340	1287.496
