X	Y
39.076	39.076
39.154	38.872
39.287	38.663
39.455	38.457
39.639	38.263
39.819	38.089
39.987	37.931
40.144	37.779
40.288	37.622
40.420	37.452
40.544	37.267
40.667	37.073
40.793	36.876
40.928	36.680
41.071	36.484
41.218	36.284
41.365	36.078
41.508	35.862
41.645	35.637
41.780	35.410
41.915	35.189
42.055	34.980
42.202	34.789
42.354	34.611
42.508	34.436
42.659	34.255
42.806	34.059
42.948	33.853
43.090	33.645
43.234	33.444
43.383	33.260
43.539	33.093
43.699	32.938
43.861	32.788
44.023	32.635
44.183	32.478
44.342	32.318
44.499	32.157
44.655	31.998
44.810	31.841
44.968	31.683
45.130	31.523
45.298	31.359
45.474	31.196
45.656	31.040
45.844	30.900
46.037	30.783
46.234	30.687
46.431	30.597
46.626	30.500
46.815	30.382
46.998	30.241
47.178	30.084
47.356	29.918
47.534	29.750
47.712	29.586
47.893	29.430
48.076	29.290
48.263	29.169
48.454	29.067
48.650	28.975
48.849	28.882
49.054	28.780
49.262	28.666
49.471	28.544
49.680	28.419
49.887	28.295
50.091	28.175
50.297	28.056
50.506	27.939
50.723	27.821
50.948	27.702
51.178	27.585
51.407	27.472
51.629	27.367
51.841	27.271
52.042	27.179
52.234	27.084
52.418	26.977
52.598	26.851
52.779	26.717
52.968	26.586
53.171	26.473
53.392	26.387
53.627	26.324
53.869	26.275
54.110	26.231
54.343	26.183
54.566	26.128
54.783	26.065
54.994	25.991
55.203	25.908
55.412	25.816
55.624	25.721
55.845	25.627
56.076	25.539
56.317	25.456
56.566	25.375
56.818	25.295
57.071	25.213
57.322	25.126
57.570	25.038
57.816	24.954
58.060	24.877
58.301	24.812
58.540	24.756
58.776	24.703
59.009	24.645
59.237	24.574
59.462	24.488
59.688	24.395
59.920	24.304
60.162	24.224
60.416	24.162
60.681	24.119
60.952	24.095
61.224	24.089
61.492	24.099
61.756	24.123
62.018	24.155
62.282	24.187
62.553	24.212
62.833	24.225
63.123	24.226
63.419	24.220
63.716	24.214
64.010	24.215
64.298	24.227
64.574	24.257
64.835	24.305
65.073	24.374
65.285	24.465
65.469	24.579
65.632	24.711
65.790	24.854
65.955	25.001
66.133	25.149
66.319	25.298
66.505	25.450
66.681	25.607
66.842	25.771
66.980	25.949
67.093	26.146
67.174	26.369
67.222	26.621
67.248	26.891
67.263	27.168
67.278	27.441
67.304	27.697
67.349	27.933
67.411	28.151
67.489	28.355
67.584	28.548
67.688	28.736
67.792	28.927
67.885	29.129
67.954	29.350
68.000	29.590
68.026	29.845
68.038	30.109
68.040	30.380
68.035	30.652
68.020	30.923
67.992	31.190
67.947	31.451
67.882	31.703
67.803	31.945
67.729	32.179
67.677	32.409
67.668	32.635
67.706	32.860
67.774	33.089
67.851	33.327
67.914	33.577
67.946	33.843
67.945	34.117
67.913	34.391
67.851	34.655
67.762	34.900
67.654	35.125
67.545	35.335
67.458	35.541
67.410	35.750
67.412	35.970
67.447	36.202
67.496	36.448
67.541	36.707
67.565	36.980
67.563	37.258
67.533	37.532
67.474	37.791
67.383	38.025
67.264	38.232
67.130	38.418
66.997	38.592
66.876	38.762
66.780	38.937
66.710	39.131
66.672	39.357
66.668	39.627
66.687	39.932
66.711	40.249
66.720	40.557
66.696	40.833
66.621	41.055
66.497	41.227
66.349	41.377
66.199	41.533
66.071	41.722
65.969	41.942
65.888	42.184
65.823	42.434
65.770	42.682
65.721	42.918
65.666	43.140
65.593	43.344
65.493	43.527
65.366	43.693
65.225	43.854
65.082	44.020
64.951	44.203
64.830	44.397
64.709	44.592
64.580	44.776
64.434	44.937
64.271	45.077
64.098	45.202
63.919	45.319
63.738	45.432
63.550	45.539
63.350	45.631
63.131	45.704
62.891	45.754
62.631	45.786
62.357	45.804
62.072	45.814
61.780	45.821
61.484	45.827
61.188	45.831
60.894	45.831
60.605	45.825
60.323	45.812
60.049	45.792
59.783	45.767
59.520	45.737
59.260	45.704
59.000	45.670
58.739	45.637
58.474	45.607
58.205	45.583
57.931	45.568
57.649	45.563
57.361	45.565
57.067	45.570
56.770	45.572
56.470	45.569
56.168	45.556
55.867	45.535
55.570	45.509
55.281	45.479
55.003	45.450
54.737	45.424
54.483	45.400
54.235	45.374
53.987	45.344
53.735	45.307
53.476	45.260
53.212	45.208
52.944	45.151
52.676	45.094
52.409	45.037
52.143	44.983
51.878	44.930
51.615	44.878
51.352	44.827
51.090	44.776
50.827	44.725
50.563	44.672
50.298	44.618
50.030	44.562
49.759	44.505
49.485	44.448
49.207	44.395
48.925	44.350
48.638	44.314
48.347	44.292
48.053	44.281
47.758	44.283
47.465	44.297
47.176	44.321
46.892	44.355
46.611	44.392
46.334	44.424
46.057	44.444
45.779	44.443
45.499	44.418
45.219	44.373
44.939	44.314
44.663	44.248
44.392	44.182
44.126	44.119
43.863	44.062
43.601	44.010
43.337	43.966
43.068	43.928
42.795	43.898
42.517	43.873
42.235	43.851
41.950	43.830
41.661	43.808
41.372	43.784
41.086	43.758
40.808	43.732
40.541	43.705
40.289	43.677
40.054	43.640
39.837	43.582
39.639	43.488
39.462	43.348
39.309	43.163
39.187	42.945
39.104	42.706
39.064	42.458
39.065	42.205
39.096	41.945
39.142	41.675
39.191	41.391
39.230	41.092
39.254	40.784
39.262	40.478
39.250	40.184
39.218	39.913
39.164	39.675
39.105	39.466
39.066	39.271
39.076	39.076
