X	Y
38.826	42.946
39.008	42.869
39.265	42.852
39.573	42.873
39.906	42.913
40.237	42.950
40.550	42.970
40.847	42.975
41.134	42.969
41.417	42.958
41.702	42.946
41.995	42.938
42.292	42.933
42.590	42.933
42.885	42.937
43.172	42.945
43.448	42.958
43.712	42.977
43.964	43.006
44.202	43.045
44.426	43.099
44.642	43.164
44.856	43.231
45.079	43.294
45.318	43.344
45.577	43.380
45.854	43.404
46.145	43.423
46.448	43.439
46.760	43.458
47.078	43.479
47.399	43.503
47.719	43.527
48.036	43.551
48.345	43.573
48.644	43.592
48.933	43.612
49.212	43.636
49.481	43.665
49.740	43.704
49.989	43.754
50.229	43.812
50.460	43.876
50.681	43.943
50.896	44.011
51.109	44.077
51.328	44.139
51.561	44.195
51.813	44.244
52.079	44.291
52.351	44.341
52.623	44.397
52.887	44.467
53.140	44.550
53.387	44.639
53.630	44.726
53.874	44.803
54.124	44.864
54.378	44.914
54.632	44.962
54.883	45.018
55.127	45.093
55.363	45.191
55.591	45.305
55.813	45.429
56.031	45.554
56.245	45.676
56.456	45.794
56.665	45.911
56.870	46.031
57.072	46.157
57.274	46.284
57.481	46.407
57.696	46.519
57.925	46.615
58.167	46.695
58.417	46.770
58.671	46.849
58.924	46.940
59.173	47.053
59.410	47.183
59.631	47.328
59.830	47.482
60.002	47.640
60.146	47.802
60.274	47.969
60.394	48.143
60.514	48.326
60.639	48.516
60.766	48.708
60.896	48.899
61.028	49.085
61.159	49.270
61.286	49.458
61.404	49.654
61.512	49.862
61.609	50.084
61.693	50.319
61.767	50.566
61.829	50.825
61.880	51.093
61.914	51.365
61.930	51.635
61.925	51.899
61.896	52.152
61.847	52.395
61.781	52.628
61.704	52.853
61.619	53.071
61.537	53.287
61.470	53.505
61.429	53.729
61.426	53.963
61.461	54.205
61.526	54.447
61.615	54.680
61.719	54.898
61.829	55.103
61.931	55.307
62.013	55.527
62.060	55.775
62.066	56.053
62.032	56.340
61.957	56.615
61.844	56.858
61.695	57.050
61.515	57.192
61.316	57.303
61.109	57.400
60.904	57.500
60.713	57.614
60.550	57.752
60.426	57.924
60.351	58.136
60.314	58.381
60.302	58.648
60.301	58.926
60.295	59.204
60.274	59.473
60.224	59.719
60.137	59.931
60.000	60.098
59.813	60.219
59.592	60.306
59.354	60.375
59.115	60.443
58.887	60.518
58.670	60.606
58.463	60.707
58.264	60.823
58.075	60.957
57.904	61.110
57.760	61.284
57.652	61.481
57.579	61.697
57.526	61.924
57.473	62.148
57.404	62.360
57.311	62.555
57.206	62.745
57.102	62.941
57.011	63.154
56.933	63.382
56.851	63.609
56.751	63.816
56.616	63.989
56.440	64.119
56.226	64.211
55.978	64.271
55.701	64.304
55.402	64.319
55.094	64.328
54.790	64.343
54.502	64.376
54.245	64.439
54.024	64.538
53.834	64.665
53.666	64.811
53.514	64.966
53.372	65.126
53.238	65.291
53.111	65.466
52.989	65.651
52.870	65.843
52.746	66.036
52.613	66.224
52.467	66.399
52.308	66.562
52.144	66.717
51.982	66.871
51.827	67.026
51.674	67.177
51.508	67.311
51.316	67.414
51.086	67.478
50.826	67.511
50.547	67.525
50.260	67.533
49.975	67.546
49.701	67.574
49.441	67.620
49.198	67.686
48.973	67.774
48.770	67.885
48.581	68.013
48.398	68.147
48.212	68.276
48.015	68.390
47.801	68.488
47.566	68.571
47.308	68.640
47.022	68.694
46.716	68.732
46.404	68.749
46.101	68.740
45.823	68.699
45.584	68.623
45.384	68.513
45.205	68.380
45.031	68.235
44.843	68.088
44.640	67.943
44.430	67.800
44.224	67.656
44.032	67.511
43.860	67.361
43.702	67.206
43.552	67.041
43.402	66.864
43.251	66.674
43.102	66.473
42.959	66.263
42.825	66.049
42.704	65.831
42.592	65.609
42.483	65.382
42.372	65.148
42.254	64.906
42.129	64.656
42.000	64.402
41.870	64.145
41.742	63.887
41.621	63.631
41.506	63.380
41.398	63.134
41.295	62.896
41.197	62.667
41.102	62.449
41.011	62.236
40.920	62.024
40.828	61.807
40.735	61.581
40.642	61.349
40.554	61.113
40.475	60.879
40.406	60.650
40.346	60.427
40.287	60.208
40.223	59.993
40.146	59.781
40.058	59.568
39.963	59.354
39.863	59.136
39.765	58.913
39.670	58.683
39.581	58.450
39.500	58.215
39.430	57.979
39.370	57.744
39.315	57.509
39.259	57.273
39.195	57.034
39.121	56.792
39.039	56.546
38.952	56.297
38.865	56.045
38.781	55.790
38.700	55.534
38.620	55.282
38.538	55.037
38.451	54.804
38.357	54.584
38.261	54.373
38.168	54.162
38.082	53.944
38.007	53.713
37.944	53.469
37.891	53.214
37.848	52.950
37.811	52.679
37.781	52.403
37.755	52.123
37.733	51.840
37.712	51.555
37.691	51.269
37.668	50.984
37.644	50.701
37.618	50.421
37.588	50.147
37.555	49.879
37.520	49.615
37.489	49.351
37.465	49.084
37.453	48.808
37.456	48.523
37.473	48.232
37.502	47.945
37.539	47.668
37.584	47.409
37.634	47.172
37.692	46.952
37.760	46.742
37.841	46.535
37.934	46.327
38.032	46.115
38.126	45.897
38.209	45.673
38.276	45.441
38.332	45.204
38.385	44.965
38.443	44.727
38.512	44.492
38.585	44.259
38.649	44.024
38.693	43.785
38.707	43.540
38.709	43.302
38.736	43.096
38.826	42.946
