X	Y
349.000	196.000
349.336	194.724
349.780	193.447
350.326	192.163
350.969	190.870
351.704	189.563
352.526	188.240
353.430	186.895
354.410	185.525
355.461	184.128
356.579	182.698
357.757	181.231
358.992	179.726
360.277	178.176
361.608	176.579
362.979	174.932
364.385	173.229
365.822	171.468
367.283	169.644
368.765	167.756
370.267	165.808
371.788	163.803
373.326	161.745
374.880	159.639
376.450	157.488
378.034	155.297
379.631	153.069
381.241	150.808
382.862	148.519
384.493	146.205
386.134	143.871
387.782	141.520
389.438	139.157
391.099	136.785
392.766	134.408
394.437	132.031
396.111	129.658
397.786	127.292
399.463	124.938
401.139	122.599
402.814	120.279
404.487	117.984
406.157	115.716
407.822	113.479
409.482	111.278
411.136	109.116
412.782	106.999
414.421	104.925
416.053	102.894
417.680	100.904
419.302	98.952
420.921	97.036
422.538	95.154
424.153	93.304
425.768	91.484
427.383	89.691
429.000	87.924
430.619	86.180
432.242	84.457
433.869	82.753
435.503	81.067
437.142	79.395
438.790	77.735
440.446	76.086
442.111	74.446
443.788	72.812
445.476	71.182
447.176	69.554
448.891	67.925
450.619	66.295
452.364	64.660
454.125	63.019
455.901	61.376
457.693	59.732
459.498	58.091
461.318	56.454
463.150	54.825
464.994	53.205
466.851	51.598
468.718	50.006
470.595	48.431
472.482	46.877
474.378	45.346
476.282	43.840
478.194	42.362
480.113	40.915
482.038	39.501
483.968	38.122
485.904	36.782
487.844	35.483
489.787	34.227
491.733	33.018
493.681	31.857
495.631	30.747
497.582	29.691
499.533	28.690
501.487	27.742
503.444	26.844
505.405	25.996
507.372	25.194
509.346	24.438
511.329	23.723
513.321	23.050
515.324	22.415
517.339	21.816
519.367	21.252
521.410	20.720
523.469	20.219
525.545	19.745
527.639	19.298
529.753	18.875
531.887	18.474
534.044	18.093
536.224	17.730
538.429	17.383
540.660	17.049
542.917	16.728
545.198	16.420
547.497	16.127
549.809	15.851
552.130	15.594
554.455	15.358
556.779	15.145
559.097	14.957
561.405	14.796
563.697	14.664
565.969	14.562
568.215	14.494
570.432	14.461
572.614	14.464
574.756	14.506
576.853	14.589
578.901	14.715
580.895	14.885
582.830	15.102
584.701	15.368
586.503	15.684
588.231	16.054
589.880	16.477
591.440	16.955
592.902	17.489
594.255	18.078
595.489	18.724
596.596	19.427
597.564	20.187
598.385	21.004
599.049	21.880
599.545	22.814
599.865	23.808
599.997	24.861
599.936	25.974
599.692	27.144
599.284	28.370
598.727	29.649
598.042	30.977
597.243	32.353
596.350	33.774
595.379	35.236
594.349	36.739
593.277	38.278
592.180	39.851
591.076	41.456
589.983	43.090
588.917	44.750
587.898	46.434
586.941	48.140
586.065	49.863
585.284	51.603
584.598	53.356
584.002	55.118
583.488	56.888
583.054	58.662
582.692	60.438
582.397	62.211
582.164	63.981
581.988	65.742
581.863	67.493
581.783	69.231
581.744	70.953
581.739	72.655
581.763	74.336
581.811	75.991
581.878	77.618
581.957	79.214
582.044	80.777
582.135	82.308
582.229	83.815
582.323	85.303
582.417	86.781
582.509	88.256
582.598	89.734
582.682	91.223
582.760	92.729
582.830	94.261
582.891	95.824
582.941	97.425
582.980	99.073
583.004	100.774
583.013	102.535
583.006	104.363
582.981	106.264
582.938	108.236
582.877	110.273
582.799	112.365
582.704	114.505
582.592	116.685
582.464	118.897
582.320	121.134
582.160	123.388
581.986	125.651
581.797	127.914
581.594	130.171
581.378	132.414
581.148	134.634
580.905	136.824
580.650	138.975
580.382	141.081
580.103	143.134
579.813	145.125
579.511	147.046
579.200	148.891
578.878	150.651
578.547	152.325
578.208	153.923
577.863	155.453
577.514	156.925
577.161	158.348
576.807	159.732
576.453	161.086
576.101	162.419
575.751	163.742
575.406	165.062
575.067	166.391
574.736	167.736
574.414	169.108
574.102	170.515
573.803	171.968
573.518	173.463
573.249	174.996
572.997	176.559
572.765	178.145
572.554	179.748
572.366	181.360
572.203	182.975
572.066	184.585
571.959	186.185
571.881	187.767
571.836	189.324
571.825	190.849
571.850	192.336
571.913	193.777
572.015	195.167
572.154	196.500
572.316	197.780
572.485	199.013
572.644	200.201
572.778	201.351
572.869	202.467
572.903	203.554
572.862	204.616
572.731	205.658
572.493	206.685
572.132	207.701
571.634	208.712
570.995	209.716
570.222	210.714
569.319	211.702
568.293	212.679
567.148	213.644
565.890	214.594
564.525	215.528
563.058	216.443
561.495	217.339
559.840	218.213
558.099	219.064
556.278	219.889
554.382	220.687
552.417	221.457
550.388	222.196
548.301	222.902
546.160	223.575
543.968	224.215
541.727	224.822
539.438	225.398
537.104	225.945
534.727	226.464
532.307	226.956
529.847	227.422
527.349	227.864
524.814	228.283
522.243	228.679
519.640	229.055
517.005	229.412
514.340	229.751
511.648	230.073
508.929	230.379
506.186	230.672
503.420	230.951
500.633	231.219
497.827	231.476
495.003	231.724
492.164	231.964
489.311	232.198
486.446	232.426
483.570	232.650
480.686	232.872
477.795	233.092
474.898	233.311
471.997	233.530
469.093	233.749
466.186	233.968
463.278	234.187
460.369	234.407
457.462	234.628
454.556	234.850
451.652	235.074
448.753	235.299
445.858	235.527
442.969	235.757
440.087	235.989
437.212	236.224
434.347	236.462
431.491	236.704
428.646	236.949
425.813	237.198
422.993	237.451
420.187	237.708
417.396	237.970
414.620	238.237
411.862	238.510
409.122	238.787
406.401	239.071
403.699	239.360
401.019	239.656
398.361	239.958
395.727	240.267
393.120	240.576
390.546	240.882
388.009	241.177
385.516	241.455
383.071	241.711
380.679	241.938
378.345	242.130
376.075	242.282
373.873	242.386
371.745	242.438
369.695	242.431
367.730	242.359
365.853	242.215
364.071	241.995
362.388	241.691
360.809	241.298
359.339	240.810
357.985	240.220
356.749	239.523
355.639	238.713
354.653	237.791
353.786	236.768
353.030	235.659
352.378	234.477
351.823	233.234
351.357	231.943
350.974	230.619
350.665	229.274
350.424	227.921
350.244	226.573
350.117	225.244
350.035	223.947
349.993	222.694
349.981	221.493
349.994	220.337
350.024	219.219
350.062	218.130
350.103	217.063
350.137	216.011
350.159	214.965
350.160	213.917
350.133	212.861
350.071	211.789
349.966	210.692
349.818	209.567
349.639	208.415
349.441	207.239
349.239	206.042
349.044	204.826
348.870	203.593
348.730	202.347
348.638	201.090
348.605	199.824
348.646	198.552
348.773	197.276
349.000	196.000
