X	Y
353.000	233.000
354.132	231.930
355.520	230.994
357.149	230.183
359.006	229.492
361.078	228.912
363.350	228.437
365.809	228.060
368.441	227.773
371.233	227.571
374.171	227.444
377.242	227.388
380.431	227.393
383.725	227.454
387.110	227.563
390.574	227.713
394.101	227.898
397.679	228.109
401.293	228.340
404.931	228.584
408.578	228.834
412.221	229.083
415.851	229.326
419.465	229.564
423.063	229.798
426.641	230.029
430.199	230.256
433.736	230.481
437.248	230.705
440.735	230.928
444.195	231.151
447.627	231.374
451.029	231.599
454.398	231.826
457.734	232.056
461.035	232.289
464.299	232.527
467.524	232.769
470.710	233.017
473.854	233.272
476.954	233.533
480.009	233.802
483.018	234.080
485.978	234.367
488.888	234.664
491.747	234.972
494.553	235.292
497.306	235.627
500.006	235.985
502.654	236.370
505.250	236.788
507.796	237.243
510.290	237.742
512.734	238.290
515.129	238.892
517.474	239.553
519.770	240.280
522.017	241.077
524.216	241.950
526.368	242.905
528.473	243.946
530.531	245.079
532.542	246.310
534.508	247.644
536.428	249.086
538.302	250.631
540.129	252.271
541.906	253.998
543.633	255.804
545.308	257.681
546.930	259.620
548.497	261.613
550.008	263.651
551.462	265.728
552.858	267.833
554.193	269.959
555.466	272.098
556.677	274.241
557.824	276.381
558.905	278.508
559.919	280.615
560.865	282.693
561.742	284.735
562.554	286.741
563.308	288.714
564.012	290.656
564.670	292.569
565.290	294.456
565.878	296.320
566.441	298.163
566.986	299.988
567.518	301.797
568.045	303.593
568.573	305.378
569.108	307.155
569.657	308.926
570.226	310.694
570.817	312.459
571.422	314.222
572.035	315.982
572.649	317.736
573.255	319.485
573.849	321.228
574.421	322.964
574.966	324.691
575.477	326.409
575.945	328.117
576.364	329.815
576.728	331.500
577.028	333.173
577.262	334.833
577.437	336.480
577.563	338.116
577.649	339.741
577.704	341.355
577.738	342.961
577.761	344.557
577.782	346.146
577.810	347.729
577.855	349.305
577.927	350.876
578.034	352.442
578.183	354.005
578.373	355.567
578.602	357.129
578.869	358.695
579.172	360.265
579.509	361.843
579.880	363.429
580.282	365.026
580.715	366.637
581.176	368.263
581.664	369.906
582.177	371.568
582.706	373.242
583.224	374.905
583.706	376.536
584.127	378.110
584.461	379.606
584.681	381.000
584.762	382.269
584.678	383.391
584.403	384.342
583.912	385.099
583.198	385.659
582.300	386.065
581.269	386.368
580.151	386.620
578.996	386.872
577.852	387.175
576.767	387.582
575.791	388.143
574.952	388.885
574.244	389.783
573.653	390.805
573.169	391.920
572.778	393.096
572.468	394.303
572.227	395.509
572.043	396.683
571.904	397.796
571.804	398.851
571.745	399.867
571.724	400.865
571.740	401.864
571.794	402.884
571.883	403.944
572.008	405.064
572.159	406.253
572.302	407.476
572.395	408.691
572.398	409.856
572.270	410.928
571.970	411.866
571.458	412.626
570.693	413.168
569.667	413.482
568.421	413.606
566.997	413.584
565.437	413.458
563.786	413.269
562.085	413.060
560.378	412.874
558.707	412.752
557.117	412.737
555.649	412.870
554.345	413.194
553.213	413.714
552.232	414.404
551.378	415.239
550.627	416.191
549.956	417.234
549.340	418.340
548.757	419.484
548.183	420.637
547.596	421.776
546.984	422.891
546.344	423.985
545.673	425.059
544.967	426.116
544.223	427.158
543.437	428.186
542.606	429.204
541.727	430.213
540.795	431.215
539.811	432.208
538.781	433.184
537.712	434.131
536.612	435.040
535.487	435.899
534.346	436.699
533.194	437.428
532.039	438.077
530.889	438.635
529.751	439.091
528.627	439.442
527.510	439.700
526.391	439.877
525.263	439.986
524.116	440.042
522.942	440.056
521.732	440.041
520.479	440.012
519.174	439.981
517.830	439.964
516.471	439.979
515.120	440.042
513.802	440.172
512.543	440.386
511.367	440.701
510.297	441.135
509.360	441.706
508.577	442.429
507.943	443.300
507.428	444.296
507.003	445.394
506.637	446.570
506.300	447.802
505.962	449.065
505.592	450.337
505.160	451.595
504.638	452.814
504.015	453.970
503.290	455.034
502.466	455.980
501.541	456.781
500.518	457.409
499.397	457.836
498.178	458.036
496.862	457.982
495.451	457.656
493.957	457.072
492.388	456.250
490.756	455.209
489.072	453.969
487.347	452.548
485.591	450.967
483.815	449.244
482.030	447.399
480.246	445.452
478.475	443.422
476.728	441.328
475.014	439.190
473.345	437.026
471.731	434.858
470.184	432.703
468.714	430.581
467.326	428.505
466.010	426.469
464.756	424.466
463.554	422.489
462.392	420.531
461.259	418.586
460.145	416.645
