X	Y
363.000	167.000
363.990	165.522
365.093	164.084
366.305	162.686
367.621	161.326
369.037	160.003
370.548	158.715
372.148	157.461
373.833	156.238
375.598	155.047
377.439	153.884
379.350	152.749
381.327	151.640
383.365	150.556
385.459	149.496
387.605	148.457
389.797	147.438
392.031	146.438
394.302	145.455
396.606	144.488
398.936	143.536
401.290	142.596
403.661	141.668
406.045	140.749
408.437	139.839
410.833	138.936
413.227	138.038
415.616	137.144
417.994	136.253
420.360	135.363
422.717	134.476
425.064	133.590
427.402	132.705
429.732	131.821
432.055	130.938
434.372	130.056
436.682	129.173
438.988	128.291
441.290	127.409
443.589	126.526
445.884	125.643
448.178	124.759
450.471	123.873
452.764	122.987
455.057	122.098
457.352	121.208
459.648	120.315
461.948	119.420
464.251	118.523
466.558	117.623
468.871	116.719
471.189	115.812
473.514	114.902
475.847	113.988
478.188	113.070
480.537	112.147
482.897	111.220
485.267	110.288
487.649	109.351
490.041	108.410
492.442	107.465
494.853	106.517
497.270	105.567
499.694	104.617
502.123	103.665
504.556	102.715
506.991	101.766
509.429	100.820
511.866	99.876
514.304	98.937
516.739	98.003
519.171	97.074
521.600	96.152
524.023	95.238
526.440	94.332
528.849	93.435
531.250	92.548
533.640	91.673
536.021	90.809
538.388	89.958
540.743	89.120
543.084	88.297
545.409	87.489
547.717	86.697
550.008	85.922
552.279	85.165
554.531	84.427
556.761	83.708
558.969	83.010
561.154	82.333
563.315	81.679
565.451	81.051
567.562	80.450
569.647	79.879
571.705	79.340
573.737	78.834
575.741	78.364
577.716	77.932
579.663	77.540
581.581	77.189
583.468	76.883
585.325	76.623
587.150	76.411
588.944	76.250
590.706	76.141
592.434	76.086
594.129	76.088
595.790	76.149
597.416	76.270
599.007	76.454
600.561	76.703
602.079	77.018
603.560	77.403
605.002	77.855
606.404	78.376
607.763	78.964
609.078	79.619
610.348	80.341
611.570	81.130
612.743	81.984
613.866	82.904
614.936	83.889
615.953	84.938
616.913	86.052
617.816	87.229
618.660	88.470
619.443	89.774
620.164	91.141
620.820	92.569
621.411	94.059
621.936	95.608
622.396	97.212
622.793	98.867
623.128	100.568
623.402	102.313
623.615	104.098
623.770	105.917
623.866	107.768
623.906	109.646
623.890	111.548
623.819	113.470
623.694	115.407
623.518	117.356
623.289	119.313
623.011	121.274
622.683	123.235
622.307	125.192
621.884	127.141
621.415	129.078
620.902	131.000
620.344	132.903
619.744	134.781
619.104	136.635
618.424	138.463
617.709	140.267
616.961	142.046
616.183	143.800
615.377	145.531
614.545	147.239
613.691	148.923
612.816	150.585
611.924	152.225
611.018	153.843
610.099	155.439
609.170	157.014
608.235	158.568
607.295	160.102
606.353	161.615
605.412	163.109
604.475	164.583
603.543	166.039
602.621	167.476
601.709	168.894
600.811	170.295
599.928	171.677
599.055	173.038
598.190	174.374
597.327	175.683
596.462	176.961
595.591	178.206
594.711	179.413
593.817	180.580
592.904	181.705
591.969	182.783
591.008	183.812
590.016	184.788
588.989	185.709
587.923	186.571
586.814	187.372
585.658	188.108
584.451	188.776
583.188	189.373
581.868	189.900
580.490	190.362
579.055	190.763
577.562	191.106
576.012	191.395
574.403	191.634
572.736	191.828
571.010	191.981
569.226	192.096
567.383	192.177
565.481	192.229
563.520	192.255
561.499	192.260
559.418	192.247
557.278	192.220
555.078	192.184
552.817	192.143
550.497	192.099
548.115	192.059
545.673	192.024
543.170	192.000
540.606	191.991
537.980	192.000
535.294	192.031
532.551	192.083
529.754	192.156
526.907	192.248
524.016	192.360
521.084	192.489
518.114	192.635
515.112	192.797
512.080	192.975
509.024	193.167
505.947	193.372
502.853	193.589
499.747	193.818
496.632	194.058
493.513	194.308
490.393	194.566
487.277	194.832
484.169	195.106
481.072	195.385
477.992	195.670
474.931	195.959
471.894	196.251
468.886	196.546
465.909	196.843
462.969	197.140
460.069	197.437
457.214	197.733
454.407	198.027
451.652	198.317
448.954	198.605
446.317	198.887
443.744	199.164
441.240	199.434
438.809	199.697
436.455	199.951
434.182	200.196
431.986	200.430
429.864	200.653
427.811	200.863
425.822	201.058
423.894	201.238
422.020	201.400
420.197	201.544
418.421	201.669
416.686	201.773
414.988	201.854
413.323	201.912
411.685	201.945
410.071	201.952
408.476	201.932
406.895	201.882
405.323	201.803
403.757	201.692
402.191	201.549
400.621	201.372
399.043	201.159
397.451	200.910
395.845	200.625
394.228	200.308
392.606	199.963
390.981	199.594
389.359	199.204
387.743	198.798
386.138	198.380
384.548	197.953
382.977	197.522
381.430	197.090
379.911	196.662
378.424	196.242
376.973	195.832
375.562	195.438
374.197	195.064
372.881	194.713
371.618	194.388
370.412	194.096
369.269	193.837
368.188	193.605
367.169	193.384
366.211	193.160
365.313	192.917
364.475	192.639
363.695	192.313
362.973	191.922
362.307	191.451
361.698	190.885
361.144	190.209
360.644	189.409
360.201	188.487
359.819	187.453
359.501	186.318
359.252	185.091
359.075	183.784
358.974	182.406
358.953	180.967
359.016	179.478
359.167	177.950
359.409	176.392
359.746	174.815
360.183	173.228
360.723	171.643
361.370	170.070
362.128	168.519
363.000	167.000
