X	Y
360.000	186.000
361.321	185.467
362.866	185.027
364.623	184.675
366.582	184.405
368.734	184.215
371.067	184.098
373.572	184.049
376.237	184.065
379.054	184.140
382.011	184.269
385.099	184.448
388.307	184.672
391.624	184.936
395.040	185.234
398.546	185.564
402.130	185.919
405.783	186.295
409.494	186.686
413.253	187.090
417.049	187.499
420.873	187.910
424.714	188.318
428.561	188.718
432.405	189.106
436.234	189.475
440.040	189.823
443.811	190.143
447.537	190.431
451.208	190.683
454.813	190.893
458.343	191.057
461.792	191.174
465.161	191.249
468.452	191.286
471.667	191.291
474.807	191.269
477.874	191.225
480.870	191.163
483.796	191.090
486.654	191.009
489.446	190.927
492.174	190.847
494.838	190.776
497.441	190.717
499.985	190.677
502.471	190.660
504.901	190.671
507.277	190.715
509.600	190.798
511.872	190.924
514.094	191.098
516.269	191.326
518.398	191.612
520.482	191.961
522.524	192.379
524.526	192.871
526.487	193.440
528.410	194.086
530.293	194.804
532.135	195.590
533.936	196.439
535.696	197.348
537.414	198.312
539.089	199.327
540.721	200.388
542.310	201.491
543.854	202.632
545.353	203.806
546.806	205.010
548.214	206.238
549.575	207.487
550.888	208.752
552.154	210.030
553.372	211.315
554.541	212.603
555.656	213.891
556.711	215.177
557.695	216.457
558.603	217.728
559.425	218.989
560.152	220.235
560.778	221.466
561.294	222.677
561.691	223.866
561.961	225.030
562.097	226.168
562.089	227.275
561.931	228.349
561.621	229.392
561.172	230.411
560.597	231.414
559.908	232.409
559.119	233.403
558.242	234.404
557.291	235.421
556.279	236.461
555.219	237.532
554.123	238.643
553.005	239.800
551.877	241.012
550.753	242.286
549.644	243.627
548.554	245.027
547.489	246.479
546.453	247.976
545.451	249.509
544.488	251.071
543.569	252.655
542.699	254.253
541.882	255.857
541.124	257.459
540.428	259.053
539.801	260.630
539.246	262.183
538.769	263.704
538.375	265.186
538.068	266.621
537.851	268.002
537.715	269.331
537.642	270.614
537.615	271.857
537.617	273.066
537.630	274.248
537.637	275.409
537.620	276.554
537.562	277.690
537.446	278.823
537.255	279.959
536.970	281.105
536.579	282.264
536.082	283.436
535.482	284.618
534.782	285.809
533.985	287.005
533.093	288.206
532.108	289.408
531.035	290.609
529.875	291.808
528.631	293.003
527.307	294.190
525.905	295.368
524.427	296.535
522.877	297.688
521.257	298.826
519.570	299.945
517.821	301.047
516.014	302.131
514.154	303.197
512.246	304.244
510.295	305.274
508.305	306.285
506.282	307.279
504.230	308.255
502.153	309.213
500.058	310.153
497.948	311.076
495.828	311.981
493.703	312.868
491.578	313.738
489.458	314.590
487.347	315.424
485.251	316.241
483.174	317.041
481.121	317.823
479.096	318.588
477.105	319.336
475.148	320.065
473.224	320.775
471.329	321.463
469.460	322.128
467.614	322.768
465.790	323.381
463.983	323.966
462.192	324.521
460.413	325.044
458.643	325.534
456.880	325.988
455.121	326.406
453.363	326.785
451.604	327.124
449.839	327.420
448.068	327.673
446.286	327.880
444.491	328.040
442.682	328.153
440.859	328.218
439.024	328.238
437.177	328.214
435.321	328.146
433.455	328.037
431.582	327.888
429.703	327.700
427.818	327.473
425.928	327.210
424.036	326.912
422.142	326.580
420.247	326.215
418.352	325.819
416.459	325.393
414.569	324.937
412.682	324.454
410.801	323.945
408.927	323.409
407.062	322.844
405.210	322.245
403.376	321.608
401.561	320.930
399.769	320.205
398.005	319.430
396.270	318.602
394.569	317.715
392.905	316.766
391.281	315.750
389.701	314.665
388.167	313.505
386.685	312.266
385.255	310.945
383.883	309.537
382.572	308.039
381.325	306.446
380.144	304.754
379.028	302.968
377.973	301.095
376.974	299.140
376.028	297.111
375.129	295.015
374.273	292.858
373.456	290.649
372.674	288.393
371.923	286.097
371.197	283.769
370.493	281.416
369.806	279.044
369.132	276.660
368.467	274.271
367.806	271.884
367.145	269.507
366.480	267.145
365.806	264.806
365.119	262.497
364.414	260.225
363.688	257.997
362.936	255.819
362.155	253.696
361.352	251.627
360.534	249.607
359.706	247.634
358.877	245.703
358.053	243.812
357.241	241.958
356.448	240.136
355.681	238.343
354.947	236.576
354.253	234.832
353.605	233.106
353.010	231.396
352.477	229.699
352.010	228.010
351.618	226.326
351.307	224.644
351.085	222.961
350.957	221.273
350.924	219.580
350.975	217.885
351.102	216.191
351.295	214.503
351.543	212.823
351.838	211.156
352.168	209.504
352.526	207.871
352.900	206.261
353.281	204.678
353.660	203.124
354.026	201.603
354.369	200.119
354.681	198.676
354.952	197.276
355.173	195.924
355.363	194.623
355.547	193.379
355.752	192.195
356.004	191.077
356.330	190.029
356.757	189.056
357.311	188.161
358.018	187.351
358.906	186.629
360.000	186.000
