X	Y
5.509	3.083
5.518	3.072
5.540	3.060
5.571	3.047
5.605	3.033
5.638	3.018
5.666	3.002
5.689	2.986
5.710	2.970
5.729	2.953
5.748	2.936
5.766	2.919
5.784	2.901
5.801	2.883
5.819	2.863
5.837	2.843
5.854	2.821
5.871	2.801
5.887	2.781
5.904	2.762
5.920	2.745
5.938	2.728
5.957	2.709
5.980	2.689
6.006	2.668
6.034	2.645
6.063	2.621
6.092	2.597
6.122	2.574
6.150	2.552
6.176	2.531
6.202	2.511
6.227	2.491
6.251	2.473
6.275	2.454
6.300	2.436
6.324	2.418
6.349	2.400
6.373	2.382
6.396	2.364
6.419	2.345
6.441	2.328
6.464	2.311
6.487	2.297
6.511	2.284
6.535	2.275
6.560	2.266
6.584	2.256
6.608	2.243
6.630	2.227
6.651	2.209
6.673	2.189
6.695	2.168
6.718	2.149
6.743	2.131
6.768	2.115
6.794	2.100
6.819	2.086
6.842	2.072
6.863	2.058
6.883	2.043
6.904	2.029
6.927	2.015
6.952	2.001
6.979	1.988
7.008	1.974
7.038	1.959
7.069	1.944
7.099	1.928
7.128	1.912
7.157	1.894
7.185	1.877
7.211	1.860
7.237	1.844
7.261	1.829
7.285	1.815
7.308	1.802
7.331	1.790
7.354	1.779
7.378	1.769
7.403	1.759
7.427	1.748
7.452	1.737
7.477	1.725
7.502	1.712
7.527	1.699
7.553	1.686
7.580	1.673
7.609	1.661
7.637	1.650
7.667	1.639
7.697	1.627
7.727	1.616
7.757	1.604
7.787	1.591
7.816	1.579
7.845	1.568
7.872	1.557
7.899	1.547
7.925	1.538
7.950	1.529
7.976	1.519
8.003	1.508
8.031	1.495
8.060	1.481
8.089	1.467
8.118	1.451
8.146	1.436
8.175	1.420
8.202	1.405
8.229	1.390
8.255	1.375
8.281	1.361
8.306	1.348
8.330	1.335
8.355	1.322
8.381	1.310
8.408	1.297
8.438	1.284
8.470	1.271
8.502	1.257
8.535	1.244
8.567	1.231
8.599	1.218
8.629	1.205
8.658	1.193
8.687	1.182
8.715	1.171
8.744	1.160
8.773	1.149
8.803	1.139
8.832	1.130
8.862	1.122
8.892	1.115
8.921	1.109
8.951	1.105
8.980	1.102
9.011	1.100
9.042	1.099
9.074	1.098
9.108	1.098
9.142	1.099
9.177	1.099
9.212	1.099
9.248	1.099
9.283	1.098
9.318	1.098
9.350	1.099
9.381	1.103
9.408	1.111
9.431	1.123
9.451	1.140
9.468	1.162
9.482	1.186
9.495	1.212
9.506	1.239
9.516	1.268
9.525	1.298
9.532	1.329
9.538	1.360
9.542	1.392
9.545	1.424
9.547	1.455
9.549	1.487
9.552	1.518
9.556	1.549
9.561	1.580
9.567	1.610
9.574	1.640
9.581	1.669
9.588	1.697
9.596	1.725
9.603	1.753
9.609	1.781
9.613	1.810
9.616	1.841
9.617	1.872
9.616	1.905
9.616	1.939
9.614	1.973
9.614	2.008
9.613	2.043
9.614	2.078
9.614	2.113
9.614	2.148
9.614	2.181
