X	Y
5.677	3.281
5.708	3.272
5.739	3.270
5.771	3.272
5.803	3.276
5.836	3.280
5.871	3.282
5.906	3.281
5.940	3.280
5.974	3.279
6.006	3.279
6.036	3.282
6.063	3.288
6.089	3.295
6.115	3.303
6.143	3.310
6.172	3.314
6.204	3.316
6.238	3.316
6.272	3.315
6.307	3.313
6.342	3.311
6.377	3.309
6.411	3.307
6.444	3.304
6.477	3.301
6.509	3.297
6.541	3.292
6.573	3.286
6.605	3.280
6.637	3.274
6.668	3.268
6.700	3.263
6.732	3.260
6.764	3.257
6.796	3.255
6.828	3.252
6.860	3.250
6.892	3.247
6.924	3.244
6.956	3.241
6.988	3.238
7.020	3.235
7.051	3.233
7.081	3.231
7.112	3.228
7.142	3.224
7.172	3.220
7.202	3.214
7.231	3.207
7.261	3.200
7.292	3.194
7.323	3.190
7.355	3.187
7.388	3.186
7.422	3.186
7.456	3.187
7.490	3.189
7.524	3.190
7.557	3.191
7.591	3.192
7.624	3.192
7.658	3.191
7.691	3.189
7.724	3.187
7.758	3.184
7.791	3.180
7.824	3.177
7.858	3.175
7.891	3.174
7.924	3.173
7.958	3.173
7.991	3.174
8.025	3.174
8.059	3.174
8.093	3.173
8.127	3.172
8.160	3.171
8.194	3.171
8.226	3.173
8.258	3.176
8.289	3.181
8.319	3.188
8.349	3.195
8.378	3.201
8.409	3.208
8.439	3.213
8.470	3.219
8.501	3.224
8.530	3.231
8.559	3.239
8.586	3.248
8.613	3.259
8.639	3.269
8.664	3.279
8.689	3.289
8.713	3.298
8.738	3.308
8.762	3.320
8.786	3.334
8.811	3.350
8.836	3.366
8.861	3.383
8.887	3.398
8.914	3.411
8.941	3.421
8.969	3.430
8.998	3.438
9.027	3.447
9.057	3.456
9.087	3.467
9.117	3.479
9.146	3.491
9.175	3.504
9.202	3.518
9.229	3.531
9.255	3.544
9.280	3.557
9.305	3.569
9.330	3.581
9.355	3.593
9.379	3.606
9.402	3.621
9.423	3.639
9.442	3.661
9.459	3.684
9.474	3.709
9.488	3.733
9.501	3.755
9.514	3.776
9.525	3.798
9.534	3.821
9.543	3.847
9.549	3.876
9.553	3.907
9.555	3.939
9.554	3.971
9.550	4.003
9.544	4.033
9.534	4.062
9.523	4.089
9.510	4.114
9.496	4.138
9.480	4.159
9.463	4.180
9.444	4.199
9.423	4.218
9.402	4.238
9.379	4.257
9.356	4.276
9.334	4.295
9.312	4.313
9.292	4.331
9.272	4.348
9.251	4.365
9.229	4.382
9.206	4.399
9.181	4.417
9.156	4.436
9.131	4.455
9.107	4.474
9.084	4.493
9.062	4.513
9.040	4.532
9.018	4.551
8.996	4.569
8.973	4.586
8.950	4.602
8.927	4.618
8.904	4.634
8.881	4.650
8.858	4.667
8.835	4.684
8.812	4.700
8.788	4.716
8.765	4.732
8.741	4.748
8.718	4.764
8.695	4.781
8.674	4.800
8.654	4.819
8.635	4.839
8.615	4.860
8.595	4.880
8.574	4.899
8.551	4.918
8.528	4.937
8.506	4.956
8.484	4.975
8.464	4.995
8.445	5.015
8.425	5.035
8.405	5.055
8.384	5.075
8.360	5.094
8.335	5.113
8.310	5.132
8.285	5.149
8.261	5.164
8.237	5.179
8.214	5.192
8.190	5.205
8.166	5.218
8.140	5.231
8.113	5.245
8.085	5.258
8.057	5.269
8.027	5.280
7.998	5.288
7.968	5.295
7.938	5.301
7.907	5.306
7.876	5.310
7.845	5.314
7.813	5.318
7.781	5.321
7.749	5.323
7.717	5.325
7.684	5.326
7.652	5.327
7.620	5.327
7.588	5.327
7.556	5.326
7.525	5.326
7.493	5.325
7.462	5.325
7.430	5.325
7.397	5.325
7.364	5.326
7.330	5.326
7.295	5.327
7.260	5.327
7.225	5.327
7.190	5.326
7.155	5.325
7.121	5.323
7.087	5.320
7.054	5.317
7.021	5.314
6.989	5.310
6.957	5.307
6.925	5.304
6.893	5.301
6.861	5.298
6.829	5.296
6.796	5.294
6.763	5.292
6.730	5.289
6.696	5.287
6.662	5.283
6.629	5.279
6.595	5.273
6.563	5.265
6.531	5.256
6.501	5.246
6.472	5.235
6.445	5.222
6.419	5.209
6.394	5.195
6.369	5.182
6.342	5.171
6.315	5.161
6.287	5.151
6.258	5.142
6.229	5.134
6.201	5.124
6.174	5.113
6.147	5.101
6.122	5.088
6.097	5.073
6.075	5.056
6.054	5.037
6.034	5.017
6.015	4.996
5.997	4.974
5.980	4.952
5.963	4.929
5.947	4.906
5.931	4.883
5.915	4.859
5.899	4.834
5.883	4.809
5.868	4.784
5.852	4.758
5.836	4.732
5.821	4.706
5.805	4.679
5.790	4.652
5.776	4.624
5.762	4.595
5.749	4.566
5.736	4.537
5.725	4.507
5.714	4.478
5.705	4.448
5.697	4.418
5.690	4.388
5.684	4.358
5.679	4.327
5.676	4.296
5.674	4.265
5.672	4.233
5.670	4.202
5.666	4.173
5.660	4.145
5.651	4.120
5.641	4.095
5.629	4.072
5.617	4.048
5.606	4.022
5.596	3.995
5.586	3.968
5.577	3.942
5.568	3.916
5.559	3.891
5.552	3.867
5.545	3.842
5.540	3.816
5.536	3.787
5.533	3.756
5.530	3.723
5.528	3.690
5.525	3.656
5.521	3.623
5.517	3.591
5.514	3.558
5.514	3.524
5.518	3.490
5.527	3.455
5.542	3.419
5.563	3.384
5.588	3.351
5.616	3.321
5.646	3.298
5.677	3.281
