X	Y
1174.000	550.000
1175.189	547.938
1176.549	545.977
1178.072	544.108
1179.753	542.325
1181.583	540.621
1183.555	538.987
1185.662	537.418
1187.898	535.905
1190.253	534.441
1192.722	533.019
1195.298	531.632
1197.972	530.272
1200.738	528.932
1203.588	527.605
1206.516	526.284
1209.514	524.960
1212.574	523.628
1215.691	522.279
1218.855	520.907
1222.061	519.503
1225.301	518.062
1228.568	516.575
1231.854	515.034
1235.152	513.434
1238.458	511.771
1241.771	510.047
1245.089	508.265
1248.411	506.429
1251.737	504.542
1255.066	502.606
1258.397	500.625
1261.729	498.602
1265.061	496.540
1268.392	494.442
1271.722	492.312
1275.049	490.151
1278.372	487.965
1281.691	485.755
1285.005	483.524
1288.313	481.277
1291.613	479.015
1294.906	476.742
1298.189	474.462
1301.463	472.176
1304.726	469.889
1307.978	467.604
1311.217	465.322
1314.442	463.049
1317.654	460.786
1320.850	458.537
1324.030	456.305
1327.193	454.093
1330.338	451.905
1333.465	449.742
1336.571	447.609
1339.658	445.507
1342.729	443.433
1345.784	441.386
1348.828	439.363
1351.864	437.361
1354.893	435.377
1357.919	433.409
1360.945	431.455
1363.972	429.511
1367.005	427.576
1370.046	425.646
1373.098	423.719
1376.163	421.793
1379.244	419.864
1382.344	417.931
1385.466	415.991
1388.612	414.040
1391.786	412.078
1394.990	410.100
1398.226	408.105
1401.498	406.089
1404.809	404.051
1408.161	401.987
1411.557	399.896
1414.999	397.774
1418.491	395.619
1422.036	393.428
1425.635	391.199
1429.293	388.930
1433.011	386.617
1436.792	384.258
1440.635	381.854
1444.537	379.407
1448.496	376.919
1452.508	374.393
1456.571	371.830
1460.682	369.233
1464.838	366.603
1469.036	363.943
1473.273	361.255
1477.547	358.541
1481.854	355.803
1486.193	353.043
1490.559	350.264
1494.951	347.467
1499.365	344.655
1503.799	341.829
1508.249	338.993
1512.713	336.148
1517.188	333.295
1521.671	330.438
1526.160	327.579
1530.651	324.719
1535.142	321.860
1539.629	319.006
1544.111	316.157
1548.584	313.316
1553.045	310.486
1557.491	307.667
1561.921	304.863
1566.330	302.076
1570.715	299.307
1575.076	296.559
1579.407	293.834
1583.707	291.134
1587.972	288.461
1592.201	285.817
1596.389	283.204
1600.534	280.626
1604.634	278.082
1608.685	275.577
1612.686	273.110
1616.639	270.681
1620.545	268.287
1624.406	265.927
1628.224	263.600
1632.002	261.302
1635.740	259.033
1639.442	256.791
1643.109	254.573
1646.744	252.379
1650.347	250.206
1653.921	248.052
1657.468	245.916
1660.990	243.796
1664.489	241.690
1667.967	239.597
1671.426	237.514
1674.867	235.439
1678.293	233.372
1681.706	231.310
1685.107	229.251
1688.499	227.194
1691.884	225.137
1695.263	223.077
1698.638	221.014
1702.012	218.945
1705.387	216.869
1708.764	214.784
1712.145	212.688
1715.532	210.579
1718.928	208.455
1722.334	206.315
1725.752	204.157
1729.184	201.980
1732.631	199.783
1736.094	197.570
1739.573	195.341
1743.070	193.099
1746.584	190.843
1750.118	188.577
1753.672	186.301
1757.245	184.018
1760.840	181.728
1764.458	179.433
1768.097	177.135
1771.761	174.836
1775.449	172.536
1779.162	170.237
1782.901	167.942
1786.666	165.650
1790.459	163.365
1794.281	161.087
1798.131	158.819
1802.011	156.560
1805.922	154.314
1809.865	152.082
1813.839	149.865
1817.847	147.664
1821.888	145.482
1825.963	143.319
1830.074	141.178
1834.221	139.059
1838.405	136.965
1842.627	134.897
1846.887	132.856
1851.186	130.845
1855.525	128.863
1859.905	126.914
1864.326	124.999
1868.787	123.118
1873.281	121.275
1877.805	119.470
1882.353	117.706
1886.920	115.984
1891.501	114.306
1896.092	112.673
1900.686	111.088
1905.279	109.551
1909.866	108.065
1914.443	106.632
1919.002	105.253
1923.541	103.930
1928.054	102.664
1932.535	101.458
1936.980	100.313
1941.384	99.230
1945.741	98.212
1950.047	97.260
1954.296	96.377
1958.484	95.562
1962.605	94.820
1966.655	94.150
1970.628	93.555
1974.520	93.037
1978.324	92.597
1982.038	92.236
1985.654	91.958
1989.169	91.763
1992.576	91.653
1995.872	91.630
1999.052	91.696
2002.109	91.852
2005.039	92.100
2007.840	92.442
2010.515	92.880
2013.066	93.417
2015.496	94.054
2017.808	94.795
2020.005	95.641
2022.089	96.595
2024.063	97.659
2025.930	98.836
2027.692	100.127
2029.353	101.534
2030.916	103.061
2032.382	104.710
2033.754	106.482
2035.036	108.381
2036.231	110.407
2037.340	112.565
2038.367	114.855
2039.314	117.278
2040.184	119.827
2040.977	122.498
2041.696	125.285
2042.343	128.181
2042.919	131.183
2043.428	134.284
2043.870	137.479
2044.247	140.762
2044.561	144.127
2044.815	147.570
2045.010	151.084
2045.148	154.664
2045.230	158.305
2045.260	162.001
2045.239	165.747
2045.168	169.537
2045.050	173.365
2044.886	177.226
2044.679	181.114
2044.430	185.024
2044.141	188.951
2043.814	192.889
2043.451	196.831
2043.055	200.774
2042.626	204.711
2042.167	208.637
2041.679	212.546
