X	Y
1196.000	660.000
1197.814	658.594
1199.913	657.285
1202.288	656.069
1204.925	654.942
1207.813	653.898
1210.940	652.934
1214.295	652.043
1217.867	651.223
1221.642	650.467
1225.610	649.772
1229.760	649.133
1234.078	648.545
1238.554	648.003
1243.176	647.503
1247.932	647.039
1252.811	646.608
1257.801	646.205
1262.890	645.825
1268.067	645.463
1273.319	645.115
1278.636	644.776
1284.005	644.442
1289.415	644.107
1294.854	643.767
1300.310	643.417
1305.772	643.053
1311.229	642.670
1316.667	642.264
1322.077	641.829
1327.451	641.364
1332.790	640.871
1338.097	640.353
1343.371	639.810
1348.616	639.247
1353.831	638.664
1359.019	638.065
1364.180	637.451
1369.317	636.825
1374.430	636.188
1379.522	635.544
1384.592	634.895
1389.644	634.242
1394.677	633.588
1399.694	632.935
1404.696	632.286
1409.685	631.642
1414.661	631.007
1419.626	630.381
1424.581	629.769
1429.529	629.171
1434.470	628.590
1439.405	628.028
1444.337	627.488
1449.266	626.971
1454.193	626.481
1459.121	626.018
1464.051	625.587
1468.984	625.188
1473.921	624.824
1478.864	624.497
1483.814	624.210
1488.772	623.965
1493.740	623.764
1498.713	623.610
1503.688	623.506
1508.663	623.456
1513.633	623.463
1518.596	623.529
1523.547	623.658
1528.484	623.852
1533.403	624.115
1538.301	624.451
1543.174	624.861
1548.019	625.350
1552.832	625.919
1557.611	626.573
1562.351	627.315
1567.050	628.147
1571.703	629.072
1576.309	630.094
1580.862	631.216
1585.360	632.440
1589.800	633.771
1594.177	635.210
1598.490	636.761
1602.733	638.428
1606.904	640.213
1611.000	642.119
1615.017	644.150
1618.951	646.308
1622.800	648.597
1626.559	651.019
1630.227	653.578
1633.802	656.271
1637.291	659.094
1640.695	662.042
1644.018	665.108
1647.265	668.288
1650.440	671.577
1653.545	674.970
1656.585	678.460
1659.563	682.044
1662.484	685.715
1665.350	689.469
1668.166	693.300
1670.936	697.203
1673.663	701.173
1676.350	705.205
1679.003	709.293
1681.624	713.433
1684.217	717.618
1686.785	721.844
1689.334	726.105
1691.866	730.397
1694.385	734.714
1696.895	739.051
1699.400	743.402
1701.903	747.762
1704.408	752.127
1706.919	756.491
1709.440	760.848
