X	Y
824.000	324.000
826.114	321.248
828.764	318.703
831.906	316.345
835.495	314.152
839.484	312.104
843.830	310.181
848.488	308.362
853.412	306.625
858.557	304.950
863.879	303.317
869.332	301.705
874.871	300.092
880.451	298.459
886.032	296.786
891.606	295.069
897.187	293.310
902.789	291.514
908.424	289.682
914.107	287.820
919.851	285.931
925.670	284.016
931.576	282.081
937.583	280.129
943.705	278.163
949.956	276.185
956.348	274.201
962.896	272.213
969.612	270.224
976.511	268.238
983.605	266.258
990.908	264.288
998.431	262.331
1006.164	260.389
1014.088	258.463
1022.187	256.554
1030.442	254.664
1038.837	252.794
1047.353	250.946
1055.973	249.120
1064.679	247.317
1073.454	245.541
1082.280	243.790
1091.139	242.068
1100.014	240.375
1108.888	238.712
1117.742	237.082
1126.559	235.484
1135.321	233.921
1144.011	232.394
1152.612	230.904
1161.104	229.452
1169.472	228.041
1177.697	226.670
1185.762	225.342
1193.648	224.057
1201.344	222.817
1208.855	221.624
1216.193	220.479
1223.372	219.384
1230.403	218.340
1237.298	217.348
1244.070	216.411
1250.731	215.530
1257.294	214.705
1263.770	213.940
1270.172	213.235
1276.513	212.592
1282.804	212.012
1289.058	211.497
1295.287	211.048
1301.503	210.668
1307.719	210.357
1313.947	210.117
1320.199	209.950
1326.480	209.856
1332.786	209.835
1339.109	209.886
1345.444	210.010
1351.785	210.206
1358.126	210.474
1364.460	210.812
1370.782	211.221
1377.085	211.701
1383.364	212.250
1389.613	212.869
1395.824	213.557
1401.993	214.314
1408.113	215.139
1414.178	216.033
1420.183	216.993
1426.120	218.022
1431.981	219.120
1437.747	220.307
1443.394	221.603
1448.901	223.028
1454.246	224.604
1459.406	226.352
1464.359	228.292
1469.082	230.445
1473.554	232.832
1477.752	235.474
1481.654	238.392
1485.237	241.606
1488.479	245.138
1491.359	249.008
1493.855	253.232
1495.966	257.789
1497.701	262.637
1499.065	267.733
1500.068	273.036
1500.717	278.504
1501.019	284.096
1500.983	289.769
1500.615	295.481
1499.924	301.192
1498.917	306.858
1497.602	312.438
1495.987	317.890
1494.079	323.173
1491.886	328.244
1489.416	333.071
1486.682	337.657
1483.697	342.010
1480.473	346.139
1477.022	350.054
1473.358	353.763
1469.494	357.275
1465.442	360.600
1461.214	363.747
1456.824	366.725
1452.285	369.542
1447.608	372.208
1442.808	374.732
1437.896	377.123
1432.885	379.390
1427.779	381.537
1422.578	383.564
1417.282	385.474
1411.889	387.268
1406.399	388.945
1400.812	390.507
1395.125	391.956
1389.339	393.292
1383.453	394.516
1377.467	395.629
1371.378	396.632
1365.188	397.527
1358.894	398.314
1352.497	398.994
1345.995	399.569
1339.388	400.039
1332.677	400.407
1325.871	400.679
1318.980	400.863
1312.014	400.967
1304.983	400.999
1297.896	400.965
1290.764	400.874
1283.596	400.733
1276.402	400.550
1269.193	400.333
1261.978	400.088
1254.767	399.824
1247.570	399.549
1240.397	399.269
1233.257	398.993
1226.162	398.727
1219.120	398.481
1212.141	398.260
1205.236	398.074
1198.414	397.929
1191.676	397.827
1185.013	397.767
1178.418	397.744
1171.882	397.757
1165.398	397.803
1158.958	397.879
1152.553	397.982
1146.176	398.109
1139.818	398.258
1133.471	398.427
1127.127	398.611
1120.779	398.810
1114.418	399.019
1108.035	399.236
1101.624	399.458
1095.176	399.683
1088.683	399.908
1082.137	400.130
1075.537	400.348
1068.888	400.559
1062.196	400.763
1055.463	400.958
1048.696	401.143
1041.899	401.317
1035.077	401.478
1028.234	401.625
1021.375	401.756
1014.506	401.870
1007.630	401.967
1000.752	402.044
993.877	402.100
987.010	402.134
980.156	402.144
973.319	402.130
966.505	402.090
959.717	402.022
952.960	401.925
946.243	401.797
939.571	401.635
932.953	401.436
926.397	401.198
919.911	400.918
913.501	400.592
907.176	400.219
900.944	399.795
894.812	399.318
888.788	398.785
882.879	398.193
877.094	397.540
871.440	396.822
865.925	396.037
860.556	395.183
855.341	394.256
850.291	393.253
845.437	392.168
840.822	390.992
836.491	389.719
832.485	388.338
828.850	386.843
825.627	385.225
822.862	383.476
820.596	381.587
818.874	379.551
817.738	377.360
817.179	375.008
817.092	372.502
817.363	369.844
817.880	367.041
818.529	364.095
819.197	361.013
819.769	357.798
820.137	354.456
820.281	351.007
820.286	347.487
820.242	343.933
820.240	340.384
820.369	336.875
820.720	333.445
821.382	330.131
822.445	326.970
824.000	324.000
