X	Y
818.000	365.000
819.502	364.017
821.130	363.184
822.878	362.496
824.743	361.947
826.718	361.531
828.800	361.243
830.983	361.076
833.264	361.026
835.636	361.086
838.096	361.251
840.638	361.515
843.259	361.873
845.952	362.319
848.714	362.847
851.540	363.451
854.424	364.127
857.363	364.867
860.351	365.667
863.384	366.521
866.457	367.423
869.564	368.368
872.703	369.350
875.867	370.363
879.051	371.401
882.252	372.459
885.465	373.531
888.684	374.612
891.905	375.696
895.123	376.777
898.334	377.850
901.532	378.908
904.714	379.947
907.873	380.960
911.007	381.943
914.116	382.896
917.201	383.820
920.263	384.716
923.305	385.586
926.328	386.431
929.332	387.252
932.321	388.051
935.295	388.829
938.255	389.586
941.204	390.325
944.143	391.046
947.073	391.752
949.995	392.442
952.912	393.119
955.825	393.784
958.735	394.437
961.644	395.081
964.554	395.716
967.465	396.345
970.379	396.967
973.299	397.584
976.224	398.199
979.158	398.811
982.101	399.422
985.055	400.033
988.021	400.647
991.002	401.263
993.997	401.884
997.010	402.510
1000.041	403.143
1003.092	403.784
1006.164	404.434
1009.260	405.095
1012.380	405.768
1015.526	406.454
1018.699	407.155
1021.900	407.871
1025.129	408.601
1028.383	409.344
1031.662	410.099
1034.965	410.866
1038.289	411.643
1041.634	412.430
1044.998	413.225
1048.381	414.027
1051.780	414.836
1055.195	415.650
1058.624	416.469
1062.067	417.292
1065.521	418.116
1068.985	418.943
1072.459	419.770
1075.941	420.596
1079.429	421.422
1082.923	422.244
1086.420	423.064
1089.921	423.879
1093.423	424.689
1096.925	425.493
1100.427	426.289
1103.926	427.078
1107.421	427.857
1110.912	428.626
1114.396	429.383
1117.873	430.129
1121.341	430.862
1124.800	431.580
1128.247	432.284
1131.681	432.971
1135.102	433.641
1138.507	434.294
1141.896	434.927
1145.268	435.541
1148.620	436.133
1151.953	436.704
1155.264	437.252
1158.552	437.776
1161.816	438.275
1165.055	438.750
1168.271	439.201
1171.462	439.629
1174.629	440.035
1177.772	440.421
1180.891	440.787
1183.987	441.134
1187.059	441.463
1190.108	441.776
1193.134	442.072
1196.138	442.354
1199.118	442.622
1202.076	442.877
1205.011	443.121
1207.924	443.353
1210.815	443.576
1213.684	443.790
1216.532	443.996
1219.357	444.195
1222.161	444.388
1224.944	444.576
1227.706	444.760
1230.447	444.941
1233.167	445.120
1235.866	445.299
1238.545	445.477
1241.203	445.656
1243.841	445.837
1246.460	446.022
1249.058	446.210
1251.637	446.403
1254.196	446.602
1256.736	446.808
1259.256	447.022
1261.758	447.245
1264.240	447.479
1266.702	447.725
1269.144	447.986
1271.565	448.262
1273.965	448.556
1276.344	448.870
1278.701	449.205
1281.037	449.563
1283.349	449.945
1285.639	450.354
1287.906	450.791
1290.148	451.258
1292.367	451.757
1294.562	452.289
1296.732	452.856
1298.877	453.461
1300.996	454.103
1303.089	454.787
1305.156	455.512
1307.197	456.282
1309.211	457.097
1311.197	457.959
1313.156	458.871
1315.086	459.833
1316.988	460.848
1318.861	461.918
1320.704	463.043
1322.517	464.222
1324.297	465.454
1326.041	466.736
1327.749	468.067
1329.418	469.443
1331.047	470.865
1332.632	472.328
1334.174	473.831
1335.668	475.373
1337.115	476.951
1338.511	478.563
1339.855	480.208
1341.145	481.882
1342.378	483.585
1343.554	485.313
1344.670	487.066
1345.724	488.841
1346.714	490.636
1347.638	492.449
1348.495	494.277
1349.282	496.120
1349.997	497.975
1350.640	499.840
1351.206	501.712
1351.696	503.590
1352.106	505.471
