X	Y
1708.000	3786.000
1709.626	3780.739
1711.596	3775.490
1713.894	3770.253
1716.506	3765.027
1719.415	3759.811
1722.608	3754.604
1726.069	3749.406
1729.784	3744.215
1733.736	3739.031
1737.911	3733.853
1742.294	3728.680
1746.870	3723.512
1751.624	3718.347
1756.541	3713.185
1761.605	3708.025
1766.802	3702.866
1772.117	3697.707
1777.534	3692.548
1783.043	3687.389
1788.641	3682.230
1794.328	3677.074
1800.100	3671.922
1805.956	3666.774
1811.895	3661.634
1817.915	3656.502
1824.013	3651.380
1830.189	3646.269
1836.440	3641.170
1842.765	3636.086
1849.162	3631.017
1855.629	3625.966
1862.165	3620.933
1868.767	3615.920
1875.434	3610.929
1882.165	3605.961
1888.957	3601.017
1895.809	3596.100
1902.719	3591.210
1909.684	3586.349
1916.705	3581.518
1923.779	3576.719
1930.906	3571.950
1938.088	3567.211
1945.326	3562.500
1952.619	3557.817
1959.969	3553.160
1967.377	3548.528
1974.844	3543.921
1982.369	3539.336
1989.955	3534.774
1997.601	3530.232
2005.309	3525.710
2013.079	3521.208
2020.912	3516.722
2028.809	3512.254
2036.770	3507.801
2044.797	3503.362
2052.890	3498.937
2061.050	3494.524
2069.277	3490.123
2077.573	3485.732
2085.939	3481.349
2094.374	3476.975
2102.880	3472.608
2111.458	3468.247
2120.104	3463.895
2128.814	3459.559
2137.581	3455.248
2146.397	3450.969
2155.258	3446.730
2164.156	3442.540
2173.086	3438.407
2182.040	3434.338
2191.013	3430.341
2199.998	3426.425
2208.988	3422.598
2217.978	3418.867
2226.960	3415.240
2235.929	3411.727
2244.878	3408.333
2253.801	3405.069
2262.691	3401.940
2271.542	3398.956
2280.348	3396.125
2289.102	3393.454
2297.798	3390.952
2306.430	3388.627
2314.990	3386.486
2323.473	3384.537
2331.873	3382.789
2340.182	3381.249
2348.402	3379.916
2356.539	3378.776
2364.600	3377.819
2372.590	3377.032
2380.518	3376.403
2388.389	3375.920
2396.211	3375.572
2403.989	3375.345
2411.731	3375.229
2419.444	3375.210
2427.133	3375.276
2434.806	3375.417
2442.470	3375.619
2450.130	3375.871
2457.795	3376.160
2465.470	3376.475
2473.162	3376.803
2480.877	3377.132
2488.624	3377.451
2496.407	3377.746
2504.235	3378.007
2512.105	3378.228
2519.987	3378.427
2527.843	3378.632
2535.635	3378.865
2543.326	3379.152
2550.878	3379.519
2558.254	3379.990
2565.416	3380.591
2572.326	3381.346
2578.947	3382.281
2585.242	3383.420
2591.172	3384.789
2596.700	3386.412
2601.788	3388.315
2606.399	3390.522
2610.496	3393.060
2614.040	3395.952
