X	Y
1708.000	3818.000
1712.055	3814.245
1716.695	3810.760
1721.889	3807.542
1727.607	3804.588
1733.820	3801.893
1740.498	3799.454
1747.609	3797.267
1755.126	3795.327
1763.017	3793.632
1771.254	3792.178
1779.805	3790.960
1788.641	3789.975
1797.732	3789.219
1807.048	3788.688
1816.559	3788.379
1826.236	3788.288
1836.048	3788.411
1845.965	3788.743
1855.958	3789.282
1865.997	3790.024
1876.051	3790.965
1886.091	3792.100
1896.086	3793.427
1906.009	3794.940
1915.848	3796.635
1925.607	3798.504
1935.290	3800.538
1944.899	3802.729
1954.438	3805.071
1963.911	3807.554
1973.321	3810.173
1982.672	3812.917
1991.968	3815.780
2001.211	3818.754
2010.405	3821.832
2019.555	3825.004
2028.662	3828.264
2037.731	3831.604
2046.766	3835.016
2055.770	3838.492
2064.746	3842.024
2073.697	3845.604
2082.628	3849.225
2091.542	3852.879
2100.443	3856.558
2109.333	3860.254
2118.216	3863.960
2127.097	3867.667
2135.978	3871.368
2144.862	3875.055
2153.755	3878.721
2162.655	3882.360
2171.557	3885.976
2180.454	3889.573
2189.339	3893.154
2198.205	3896.725
2207.045	3900.288
2215.852	3903.849
2224.620	3907.411
2233.340	3910.978
2242.007	3914.553
2250.614	3918.143
2259.152	3921.749
2267.616	3925.377
2275.999	3929.031
2284.292	3932.713
2292.491	3936.429
2300.587	3940.183
2308.574	3943.979
2316.445	3947.820
2324.192	3951.710
2331.809	3955.655
2339.289	3959.657
2346.624	3963.721
2353.809	3967.851
2360.835	3972.051
2367.697	3976.325
2374.380	3980.677
2380.868	3985.112
2387.143	3989.634
2393.187	3994.246
2398.983	3998.955
2404.513	4003.763
2409.760	4008.676
2414.705	4013.697
2419.331	4018.831
2423.621	4024.082
2427.557	4029.455
2431.121	4034.954
2434.295	4040.583
2437.062	4046.348
2439.405	4052.250
2441.305	4058.297
2442.746	4064.491
2443.708	4070.836
2444.177	4077.338
2444.156	4083.988
2443.675	4090.768
2442.761	4097.658
2441.443	4104.640
2439.750	4111.694
2437.708	4118.801
2435.348	4125.942
2432.696	4133.099
2429.783	4140.251
2426.636	4147.380
2423.283	4154.467
2419.753	4161.493
2416.074	4168.438
2412.275	4175.284
2408.385	4182.011
2404.430	4188.600
2400.441	4195.032
2396.445	4201.289
2392.470	4207.350
2388.545	4213.197
2384.694	4218.815
2380.906	4224.212
2377.159	4229.406
2373.431	4234.414
2369.701	4239.253
2365.945	4243.942
2362.142	4248.498
2358.269	4252.938
2354.305	4257.279
2350.228	4261.541
2346.014	4265.738
2341.642	4269.891
2337.091	4274.015
2332.337	4278.128
2327.358	4282.249
2322.134	4286.394
2316.640	4290.582
2310.856	4294.828
2304.770	4299.144
2298.395	4303.523
2291.749	4307.957
2284.848	4312.434
2277.709	4316.948
2270.349	4321.488
2262.785	4326.047
2255.033	4330.614
2247.111	4335.180
2239.036	4339.738
2230.824	4344.277
2222.492	4348.789
2214.058	4353.264
2205.537	4357.694
2196.947	4362.069
2188.305	4366.382
2179.627	4370.621
2170.931	4374.779
2162.233	4378.847
2153.550	4382.815
2144.899	4386.675
2136.297	4390.417
2127.761	4394.032
2119.308	4397.512
2110.954	4400.847
2102.716	4404.028
2094.601	4407.043
2086.613	4409.881
2078.752	4412.526
2071.022	4414.967
2063.425	4417.190
2055.962	4419.183
2048.637	4420.931
2041.450	4422.421
2034.405	4423.642
2027.503	4424.579
2020.746	4425.219
2014.138	4425.550
2007.679	4425.558
2001.373	4425.229
1995.220	4424.552
1989.225	4423.512
1983.388	4422.097
1977.712	4420.294
1972.199	4418.089
1966.849	4415.473
1961.653	4412.453
1956.600	4409.043
1951.676	4405.253
1946.871	4401.098
1942.173	4396.588
1937.569	4391.736
1933.048	4386.556
1928.598	4381.057
1924.208	4375.254
1919.865	4369.158
1915.557	4362.782
1911.274	4356.138
1907.002	4349.238
1902.731	4342.095
1898.447	4334.721
1894.141	4327.128
1889.798	4319.329
1885.409	4311.335
1880.960	4303.160
1876.441	4294.815
1871.841	4286.313
1867.166	4277.666
1862.422	4268.885
1857.620	4259.982
1852.767	4250.970
1847.872	4241.860
1842.944	4232.664
1837.991	4223.393
1833.022	4214.060
1828.044	4204.676
1823.068	4195.253
1818.101	4185.804
1813.151	4176.339
1808.229	4166.871
1803.341	4157.412
1798.496	4147.973
1793.703	4138.566
1788.972	4129.204
1784.309	4119.897
1779.724	4110.658
1775.225	4101.499
1770.820	4092.430
1766.519	4083.466
1762.330	4074.616
1758.261	4065.893
1754.322	4057.309
1750.519	4048.876
1746.863	4040.605
1743.361	4032.508
1740.018	4024.592
1736.831	4016.849
1733.793	4009.272
1730.900	4001.852
1728.146	3994.580
1725.526	3987.448
1723.034	3980.447
1720.665	3973.569
1718.414	3966.805
1716.276	3960.147
1714.244	3953.587
1712.315	3947.115
1710.481	3940.724
1708.739	3934.404
1707.083	3928.148
1705.506	3921.947
1704.005	3915.791
1702.573	3909.674
1701.206	3903.586
1699.898	3897.519
1698.652	3891.469
1697.501	3885.451
1696.481	3879.483
1695.629	3873.580
1694.983	3867.762
1694.579	3862.044
1694.456	3856.445
1694.649	3850.982
1695.197	3845.672
1696.136	3840.533
1697.503	3835.581
1699.336	3830.834
1701.672	3826.311
1704.547	3822.027
1708.000	3818.000
