X	Y
329.000	196.000
329.198	194.668
329.492	193.319
329.878	191.953
330.353	190.569
330.911	189.165
331.551	187.743
332.267	186.300
333.056	184.837
333.915	183.352
334.838	181.844
335.823	180.314
336.866	178.761
337.963	177.183
339.110	175.581
340.303	173.952
341.539	172.298
342.813	170.617
344.122	168.908
345.463	167.170
346.830	165.404
348.221	163.609
349.631	161.783
351.057	159.926
352.496	158.037
353.945	156.119
355.406	154.172
356.877	152.198
358.357	150.199
359.845	148.175
361.342	146.129
362.845	144.061
364.356	141.974
365.872	139.869
367.393	137.748
368.918	135.611
370.448	133.461
371.980	131.298
373.515	129.125
375.052	126.943
376.589	124.753
378.127	122.558
379.664	120.357
381.201	118.154
382.735	115.948
384.267	113.743
385.796	111.539
387.321	109.338
388.842	107.141
390.357	104.950
391.866	102.766
393.369	100.592
394.865	98.427
396.352	96.275
397.831	94.136
399.300	92.011
400.759	89.903
402.209	87.812
403.650	85.739
405.083	83.684
406.510	81.646
407.932	79.627
409.350	77.627
410.765	75.646
412.179	73.685
413.591	71.743
415.005	69.821
416.420	67.920
417.839	66.039
419.261	64.179
420.689	62.340
422.123	60.523
423.564	58.728
425.015	56.956
426.475	55.205
427.947	53.478
429.431	51.774
430.928	50.093
432.440	48.436
433.967	46.803
435.511	45.195
437.074	43.611
438.655	42.053
440.257	40.520
441.881	39.012
443.527	37.531
445.197	36.075
446.889	34.647
448.604	33.246
450.340	31.873
452.097	30.527
453.876	29.211
455.674	27.923
457.493	26.665
459.330	25.437
461.186	24.240
463.060	23.073
464.952	21.937
466.861	20.834
468.786	19.762
470.728	18.724
472.685	17.718
474.657	16.746
476.644	15.808
478.644	14.905
480.658	14.037
482.685	13.204
484.725	12.406
486.776	11.646
488.839	10.922
490.913	10.235
492.997	9.586
495.090	8.974
497.192	8.402
499.297	7.870
501.399	7.381
503.491	6.935
505.567	6.534
507.622	6.181
509.648	5.876
511.640	5.623
513.591	5.421
515.496	5.274
517.347	5.183
519.140	5.149
520.867	5.174
522.523	5.260
524.100	5.409
525.594	5.622
526.998	5.902
528.305	6.249
529.510	6.666
530.606	7.154
531.587	7.715
532.447	8.351
533.188	9.061
533.819	9.842
534.348	10.693
534.784	11.610
535.137	12.591
535.414	13.633
535.626	14.735
535.780	15.893
535.886	17.105
535.952	18.368
535.987	19.680
536.001	21.039
536.001	22.442
535.997	23.885
535.992	25.370
535.983	26.896
535.971	28.464
535.953	30.075
535.927	31.729
535.894	33.427
535.850	35.169
535.796	36.956
535.729	38.790
535.648	40.670
535.552	42.597
535.440	44.571
535.309	46.594
535.160	48.666
534.989	50.788
534.797	52.960
534.581	55.183
534.341	57.457
534.074	59.784
533.780	62.163
533.457	64.596
533.103	67.083
532.718	69.624
532.300	72.221
531.848	74.874
531.361	77.582
530.842	80.341
530.291	83.148
529.712	85.997
529.105	88.886
528.473	91.810
527.817	94.765
527.140	97.748
526.443	100.754
525.728	103.779
524.997	106.820
524.252	109.872
523.495	112.931
522.727	115.994
521.950	119.057
521.167	122.115
520.378	125.164
519.587	128.201
518.795	131.222
518.003	134.223
517.214	137.199
516.429	140.146
515.650	143.062
514.880	145.941
514.120	148.780
513.371	151.574
512.636	154.321
511.917	157.015
511.215	159.653
510.533	162.231
509.872	164.745
509.233	167.191
508.620	169.565
508.033	171.863
507.475	174.081
506.947	176.215
506.450	178.262
505.979	180.225
505.526	182.105
505.088	183.905
504.656	185.628
504.225	187.277
503.790	188.852
503.344	190.358
502.881	191.797
502.395	193.170
501.880	194.481
501.329	195.732
500.738	196.925
500.099	198.063
499.407	199.148
498.655	200.184
497.838	201.172
496.950	202.114
495.984	203.014
494.936	203.874
493.809	204.694
492.607	205.478
491.334	206.226
489.994	206.940
488.591	207.622
487.130	208.273
485.615	208.895
484.050	209.489
482.438	210.057
480.785	210.600
479.095	211.120
477.370	211.619
475.617	212.098
473.838	212.559
472.039	213.003
470.222	213.432
468.393	213.847
466.556	214.250
464.714	214.643
462.872	215.026
461.033	215.402
459.196	215.771
457.359	216.130
455.520	216.481
453.678	216.823
451.831	217.155
449.977	217.477
448.115	217.788
446.242	218.088
444.358	218.377
442.459	218.653
440.545	218.917
438.614	219.169
436.664	219.406
434.693	219.630
432.700	219.840
430.683	220.035
428.640	220.215
426.569	220.380
424.469	220.528
422.337	220.660
420.173	220.775
417.974	220.872
415.739	220.951
413.466	221.013
411.155	221.055
408.809	221.081
406.433	221.090
404.029	221.084
401.603	221.063
399.157	221.030
396.696	220.984
394.223	220.927
391.743	220.860
389.259	220.783
386.775	220.699
384.295	220.608
381.823	220.510
379.363	220.408
376.918	220.302
374.492	220.193
372.089	220.082
369.714	219.970
367.370	219.859
365.060	219.749
362.789	219.641
360.560	219.536
358.378	219.436
356.246	219.342
354.168	219.253
352.148	219.173
350.189	219.100
348.297	219.038
346.474	218.986
344.724	218.943
343.053	218.906
341.466	218.868
339.968	218.824
338.564	218.770
337.258	218.700
336.056	218.609
334.963	218.492
333.984	218.344
333.124	218.160
332.388	217.935
331.781	217.663
331.308	217.340
330.973	216.960
330.776	216.520
330.692	216.019
330.692	215.461
330.750	214.845
330.837	214.173
330.926	213.446
330.988	212.666
330.996	211.834
330.933	210.952
330.808	210.021
330.633	209.045
330.422	208.026
330.185	206.966
329.937	205.867
329.688	204.733
329.453	203.566
329.242	202.368
329.069	201.141
328.946	199.888
328.885	198.612
328.899	197.315
329.000	196.000
