X	Y
333.000	212.000
334.070	211.158
335.410	210.500
337.006	210.014
338.843	209.690
340.905	209.516
343.177	209.481
345.644	209.573
348.291	209.781
351.103	210.093
354.065	210.498
357.160	210.984
360.375	211.541
363.695	212.157
367.103	212.820
370.585	213.519
374.125	214.243
377.709	214.980
381.322	215.719
384.947	216.449
388.571	217.157
392.177	217.834
395.751	218.466
399.278	219.044
402.746	219.558
406.157	220.011
409.514	220.409
412.820	220.755
416.081	221.053
419.298	221.309
422.476	221.527
425.619	221.712
428.729	221.867
431.812	221.999
434.870	222.110
437.906	222.206
440.926	222.291
443.932	222.370
446.927	222.447
449.917	222.527
452.903	222.614
455.891	222.713
458.883	222.828
461.883	222.964
464.895	223.126
467.923	223.318
470.970	223.544
474.039	223.809
477.135	224.118
480.252	224.473
483.374	224.876
486.483	225.325
489.561	225.822
492.591	226.367
495.555	226.961
498.436	227.603
501.216	228.294
503.876	229.035
506.400	229.825
508.771	230.665
510.969	231.556
512.978	232.498
514.780	233.491
516.358	234.535
517.693	235.631
518.769	236.779
519.567	237.980
520.069	239.234
520.274	240.538
520.212	241.887
519.920	243.273
519.434	244.688
518.790	246.125
518.025	247.576
517.175	249.034
516.276	250.492
515.364	251.941
514.477	253.374
513.650	254.784
512.919	256.164
512.311	257.507
511.830	258.817
511.471	260.095
511.231	261.344
511.109	262.569
511.102	263.770
511.206	264.952
511.420	266.116
511.740	267.266
512.163	268.405
512.684	269.532
513.295	270.642
513.986	271.729
514.748	272.787
515.571	273.811
516.447	274.795
517.365	275.733
518.318	276.619
519.295	277.448
520.288	278.215
521.276	278.920
522.223	279.582
523.091	280.218
523.841	280.845
524.435	281.482
524.833	282.147
524.998	282.857
524.898	283.627
524.551	284.458
523.998	285.341
523.278	286.268
522.434	287.231
521.504	288.223
520.530	289.235
519.552	290.260
518.610	291.289
517.745	292.315
516.980	293.334
516.314	294.354
515.742	295.381
515.258	296.423
514.858	297.486
514.536	298.577
514.288	299.704
514.109	300.873
513.994	302.092
513.939	303.364
513.952	304.678
514.040	306.023
514.211	307.386
514.471	308.754
514.828	310.115
515.290	311.456
515.865	312.765
516.560	314.030
517.382	315.238
518.340	316.377
519.427	317.443
520.623	318.445
521.901	319.393
523.240	320.298
524.613	321.170
525.997	322.018
527.368	322.853
528.702	323.686
529.974	324.526
531.161	325.383
532.238	326.269
533.181	327.193
533.970	328.153
534.595	329.123
535.047	330.072
535.317	330.971
535.396	331.790
535.275	332.498
534.945	333.064
534.408	333.477
533.690	333.768
532.823	333.978
531.841	334.148
530.776	334.319
529.659	334.531
528.522	334.825
527.399	335.240
526.308	335.787
525.260	336.451
524.265	337.217
523.334	338.070
522.475	338.992
521.699	339.970
521.017	340.988
520.437	342.029
519.969	343.078
519.621	344.125
519.385	345.169
519.255	346.214
519.221	347.265
519.275	348.324
519.410	349.396
519.616	350.483
519.887	351.590
520.213	352.720
520.593	353.876
521.029	355.062
521.521	356.280
522.072	357.534
522.684	358.826
523.358	360.161
524.095	361.540
524.899	362.968
525.770	364.446
526.709	365.979
527.720	367.569
528.803	369.219
529.955	370.926
531.171	372.686
532.447	374.495
533.777	376.347
535.156	378.238
536.580	380.162
538.044	382.116
539.542	384.094
541.070	386.091
542.622	388.104
544.194	390.126
545.781	392.154
547.377	394.183
548.978	396.207
550.579	398.222
552.175	400.224
553.761	402.207
555.331	404.166
556.882	406.098
558.411	407.999
559.917	409.868
561.402	411.703
562.865	413.502
564.307	415.264
565.727	416.988
567.126	418.671
568.503	420.314
569.860	421.913
571.195	423.467
572.510	424.976
573.805	426.436
575.078	427.848
576.332	429.209
577.565	430.518
578.778	431.774
579.971	432.974
581.150	434.124
582.321	435.229
583.491	436.294
584.667	437.326
585.854	438.329
587.060	439.310
588.291	440.274
589.555	441.227
590.856	442.174
592.204	443.121
593.603	444.075
595.060	445.039
596.579	446.021
598.146	447.020
599.745	448.037
601.359	449.075
602.974	450.133
604.573	451.213
606.139	452.316
607.656	453.442
609.109	454.592
610.482	455.768
611.757	456.969
612.920	458.199
613.954	459.456
614.843	460.742
615.572	462.056
616.135	463.386
616.534	464.713
616.765	466.018
616.829	467.282
616.725	468.488
616.451	469.616
616.008	470.649
615.394	471.567
614.609	472.353
613.656	473.000
612.542	473.517
611.277	473.913
609.869	474.195
608.324	474.371
606.653	474.451
604.862	474.443
602.959	474.355
600.954	474.196
598.854	473.973
596.668	473.696
594.402	473.372
592.067	473.011
589.670	472.618
587.223	472.194
584.739	471.735
582.232	471.239
579.714	470.702
577.198	470.123
574.696	469.499
572.222	468.826
569.789	468.102
567.409	467.325
565.095	466.491
562.861	465.598
560.718	464.643
558.681	463.624
556.761	462.537
554.972	461.380
553.326	460.150
551.836	458.845
550.516	457.462
549.365	456.002
548.367	454.471
547.505	452.878
546.762	451.228
546.120	449.530
545.563	447.790
545.073	446.015
544.632	444.213
544.224	442.390
543.831	440.554
543.436	438.712
543.021	436.870
542.570	435.036
542.065	433.217
541.491	431.420
540.847	429.652
540.136	427.918
539.361	426.224
538.525	424.578
537.633	422.984
536.686	421.449
535.689	419.979
534.644	418.581
533.556	417.260
532.427	416.023
531.260	414.876
530.059	413.824
528.827	412.874
527.566	412.030
526.274	411.286
524.948	410.636
523.586	410.073
522.184	409.593
520.740	409.188
519.251	408.853
517.715	408.581
516.128	408.366
514.488	408.202
512.792	408.082
511.038	408.001
509.224	407.952
507.358	407.926
505.448	407.912
503.503	407.902
501.533	407.884
499.545	407.849
497.549	407.788
495.554	407.690
493.569	407.545
491.602	407.344
489.663	407.077
487.761	406.734
485.903	406.305
484.101	405.780
482.361	405.149
480.692	404.403
479.090	403.544
477.545	402.574
476.050	401.499
474.593	400.323
473.168	399.049
471.764	397.683
470.372	396.229
468.983	394.690
467.588	393.072
466.179	391.379
464.745	389.614
463.279	387.783
461.770	385.890
460.210	383.938
458.589	381.933
456.899	379.878
455.133	377.778
453.292	375.634
451.379	373.447
449.398	371.218
447.351	368.948
445.242	366.639
443.073	364.292
440.848	361.908
438.570	359.488
436.242	357.033
433.867	354.545
431.448	352.024
428.989	349.472
426.491	346.891
423.959	344.280
421.396	341.641
418.804	338.977
416.186	336.286
413.546	333.572
410.888	330.835
408.213	328.075
405.525	325.296
402.827	322.496
400.122	319.679
397.414	316.844
394.704	313.993
391.998	311.127
389.297	308.248
386.605	305.358
383.926	302.459
381.266	299.558
378.629	296.658
376.020	293.763
373.443	290.878
370.902	288.006
368.404	285.153
365.952	282.322
363.550	279.517
361.205	276.743
358.919	274.004
356.698	271.305
354.547	268.649
352.470	266.040
350.472	263.484
348.558	260.984
346.732	258.544
344.998	256.170
343.362	253.864
341.828	251.631
340.401	249.476
339.086	247.402
337.886	245.415
336.808	243.518
335.854	241.715
335.028	240.009
334.321	238.403
333.726	236.895
333.235	235.487
332.839	234.179
332.530	232.972
332.300	231.866
332.141	230.861
332.044	229.958
332.003	229.158
332.006	228.457
332.037	227.817
332.072	227.188
332.089	226.518
332.066	225.753
331.981	224.844
331.827	223.759
331.633	222.529
331.435	221.192
331.271	219.785
331.176	218.346
331.185	216.913
331.337	215.524
331.665	214.217
332.208	213.030
333.000	212.000
