X	Y
42.506	9.426
42.664	9.284
42.852	9.134
43.047	8.993
43.235	8.868
43.424	8.759
43.619	8.664
43.821	8.582
44.027	8.508
44.236	8.441
44.446	8.375
44.651	8.309
44.840	8.246
45.003	8.189
45.148	8.127
45.294	8.047
45.468	7.957
45.695	7.864
45.952	7.774
46.207	7.688
46.435	7.606
46.645	7.528
46.854	7.456
47.068	7.387
47.283	7.316
47.491	7.240
47.696	7.158
47.898	7.067
48.101	6.974
48.311	6.888
48.529	6.817
48.738	6.758
48.919	6.708
49.078	6.648
49.247	6.554
49.437	6.431
49.641	6.307
49.856	6.204
50.071	6.115
50.278	6.032
50.477	5.949
50.680	5.864
50.894	5.774
51.117	5.685
51.343	5.600
51.569	5.519
51.792	5.435
52.008	5.342
52.225	5.246
52.449	5.156
52.682	5.077
52.903	5.006
53.087	4.942
53.247	4.882
53.420	4.830
53.625	4.781
53.862	4.724
54.125	4.657
54.391	4.590
54.637	4.533
54.852	4.490
55.054	4.453
55.260	4.411
55.469	4.365
55.675	4.320
55.878	4.280
56.086	4.252
56.303	4.242
56.510	4.255
56.691	4.299
56.857	4.363
57.025	4.438
57.191	4.523
57.344	4.621
57.470	4.736
57.563	4.871
57.628	5.025
57.677	5.192
57.708	5.359
57.722	5.519
57.731	5.689
57.747	5.876
57.769	6.054
57.791	6.216
57.795	6.402
57.775	6.631
57.746	6.882
57.722	7.131
57.706	7.369
57.691	7.593
57.671	7.805
57.644	8.010
57.613	8.213
57.575	8.420
57.526	8.636
57.466	8.857
57.394	9.074
57.312	9.277
57.225	9.464
57.143	9.638
57.068	9.808
57.005	9.992
56.948	10.192
56.881	10.399
56.799	10.599
56.715	10.784
56.645	10.945
56.562	11.090
56.430	11.232
56.262	11.378
56.088	11.532
55.917	11.687
55.743	11.823
55.558	11.925
55.362	12.005
55.156	12.083
54.940	12.163
54.709	12.243
54.462	12.317
54.207	12.383
53.953	12.436
53.707	12.473
53.462	12.497
53.215	12.511
52.961	12.518
52.705	12.518
52.451	12.515
52.205	12.512
51.975	12.520
51.770	12.545
51.589	12.583
51.431	12.623
51.268	12.656
51.067	12.674
50.827	12.683
50.560	12.694
50.279	12.712
50.000	12.738
49.737	12.769
49.499	12.804
49.278	12.838
49.065	12.868
48.852	12.892
48.631	12.910
48.401	12.923
48.168	12.935
47.939	12.950
47.716	12.965
47.491	12.976
47.263	12.980
47.035	12.979
46.813	12.977
46.601	12.977
46.408	12.979
46.228	12.979
46.031	12.962
45.802	12.917
45.561	12.855
45.330	12.786
45.113	12.714
44.898	12.639
44.679	12.560
44.454	12.478
44.227	12.398
44.001	12.319
43.772	12.240
43.540	12.157
43.308	12.068
43.082	11.970
42.869	11.865
42.679	11.775
42.526	11.726
42.438	11.652
42.429	11.466
42.443	11.250
42.429	11.088
42.400	10.940
42.381	10.761
42.373	10.573
42.372	10.399
42.374	10.239
42.373	10.088
42.375	9.933
42.374	9.785
42.367	9.662
42.404	9.549
42.506	9.426
