X	Y
42.604	11.134
42.922	11.126
43.267	11.144
43.596	11.175
43.885	11.212
44.151	11.254
44.412	11.299
44.670	11.349
44.926	11.406
45.181	11.464
45.436	11.516
45.690	11.569
45.941	11.631
46.169	11.709
46.352	11.800
46.549	11.872
46.828	11.891
47.153	11.893
47.469	11.925
47.761	11.989
48.048	12.060
48.340	12.120
48.619	12.177
48.870	12.243
49.106	12.320
49.351	12.405
49.605	12.493
49.854	12.578
50.090	12.658
50.306	12.735
50.501	12.804
50.683	12.861
50.889	12.939
51.136	13.059
51.391	13.188
51.625	13.299
51.846	13.398
52.061	13.496
52.263	13.609
52.443	13.748
52.611	13.904
52.775	14.064
52.937	14.207
53.085	14.349
53.202	14.543
53.295	14.763
53.380	14.958
53.443	15.139
53.477	15.319
53.499	15.485
53.511	15.655
53.508	15.843
53.491	16.043
53.447	16.245
53.373	16.440
53.280	16.626
53.175	16.800
53.057	16.963
52.930	17.130
52.807	17.298
52.712	17.439
52.630	17.557
52.536	17.665
52.417	17.757
52.272	17.839
52.144	17.936
52.040	18.041
51.950	18.164
51.871	18.324
51.795	18.492
51.713	18.653
51.631	18.798
51.549	18.932
51.387	19.071
51.175	19.217
51.007	19.359
50.880	19.490
50.758	19.595
50.631	19.641
50.466	19.681
50.279	19.721
50.107	19.747
49.963	19.774
49.797	19.814
49.631	19.866
49.499	19.931
49.346	20.020
49.197	20.104
49.042	20.162
48.850	20.197
48.641	20.227
48.442	20.253
48.270	20.273
48.089	20.309
47.875	20.364
47.630	20.419
47.366	20.456
47.102	20.463
46.849	20.459
46.615	20.473
46.399	20.495
46.196	20.498
45.991	20.494
45.777	20.486
45.557	20.445
45.350	20.371
45.180	20.279
45.025	20.162
44.866	20.014
44.728	19.850
44.619	19.675
44.528	19.483
44.442	19.295
44.360	19.126
44.295	18.946
44.239	18.759
44.171	18.583
44.087	18.399
43.995	18.197
43.906	17.989
43.814	17.785
43.709	17.588
43.597	17.382
43.487	17.155
43.374	16.915
43.254	16.675
43.141	16.444
43.050	16.229
42.973	16.017
42.895	15.798
42.812	15.576
42.722	15.364
42.617	15.171
42.501	14.996
42.397	14.822
42.313	14.653
42.245	14.506
42.204	14.379
42.190	14.213
42.198	14.008
42.214	13.809
42.228	13.614
42.234	13.420
42.237	13.226
42.236	13.019
42.233	12.800
42.231	12.590
42.232	12.391
42.231	12.191
42.232	12.002
42.232	11.834
42.229	11.682
42.249	11.516
42.291	11.376
42.297	11.268
42.369	11.178
42.604	11.134
